variant,value,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1,C_FLOPs,g_type
delta,-0.2285239529866762,186068643.84854305,5652373469.253561,0.6675117551232451,3.0547716900512025,3.0806339172249304,0.13574635311144223,-0.16160858028517025,0.6310376795696968,0.1723153557011652,0.19664696472913812,interior,False,1e+19,exp
delta,0.0,258783377.7594443,4013256292.653326,0.7118274365734747,2.676772656173772,3.0909517364445622,0.11932667026268934,-0.5335057505334797,0.6231384115363037,0.17015832891017996,0.20670325955351648,interior,False,1e+19,exp
delta,-0.5,220514956.08915356,4731245592.201333,0.6905442092144893,3.175789955771238,3.0844439366451892,0.12727294681529103,-0.03592692768924212,0.625986248406767,0.17093597823160783,0.20307777336162514,interior,False,1e+19,exp
Q0,0.3,207655012.71063572,4611749336.184925,0.6938537533798106,3.0708661883769177,3.1024268172765734,0.12604468448399636,-0.1576053133836523,0.574591720214248,0.15690184573317065,0.26850643405258146,interior,False,1e+19,exp
Q0,0.7,145548044.70188573,8994794117.316704,0.7,2.9913279538782436,3.042108385016242,0.12015824559438101,-0.17093867673237909,0.7855048177628823,0.21449518223711772,0.0,floor,False,1e+19,exp
recipe,enet_trust_region,134053411.02847548,8071388907.382264,0.6212882920308461,2.9141474130769587,3.08208621591892,0.15236347283121895,-0.3203022756731802,0.6491983288631954,0.17727442366824323,0.17352724746856155,interior,False,1e+19,exp
recipe,mean_zero,258783338.37477082,4013257007.368005,0.7118274033022347,3.2102784067072214,3.0909517235438257,0.11932668316339577,0.0,0.6231384276735806,0.17015833331673244,0.20670323900968698,interior,False,1e+19,exp
Lctx_crit,30000,155850541.146267,4247229744.0858965,0.7045026428594633,3.136968787124407,3.1831824639476545,0.12207416198432983,-0.16828783880757728,0.39715983239298486,0.39715983239298486,0.2056803352140304,interior,False,1e+19,exp
delta,-0.2285239529866762,141687399.06692323,9239880927.259508,0.5,3.071389035748727,3.0433392218874067,0.20004187002650572,-0.1719920561651852,0.7855048177628823,0.21449518223711778,0.0,floor,False,1e+19,pow
delta,0.0,210272403.20744848,5784942959.181256,0.5430940169048043,2.7030193634162236,3.050160454992096,0.18636465895760754,-0.5335057505334797,0.7298483150670309,0.1992972465676372,0.07085443836533194,interior,False,1e+19,pow
delta,-0.5,163042307.64705023,8029662454.88587,0.5,3.197376464182382,3.0379552046724156,0.2012032329017911,-0.04178197339182473,0.7855048177628824,0.21449518223711775,0.0,floor,False,1e+19,pow
Q0,0.3,193250376.16431803,5205347018.84767,0.5582128763191189,3.111198569909733,3.090430482140639,0.18098407346113915,-0.16021598569204484,0.6035611616748741,0.16481243454801897,0.23162640377710694,interior,False,1e+19,pow
Q0,0.7,145548023.55204433,8994795424.366188,0.7,2.991327953878248,3.042108391412621,0.12015824487440441,-0.17093868240877716,0.7855048177628824,0.21449518223711775,0.0,floor,False,1e+19,pow
recipe,enet_trust_region,106855166.61241609,12251861447.37479,0.5,2.922436280773052,3.0620465414266738,0.19772799790983858,-0.3373382585634602,0.7855048177628824,0.21449518223711772,0.0,floor,False,1e+19,pow
recipe,mean_zero,210272526.09252992,5784938559.180456,0.5430941343119418,3.236525113949682,3.050160497035615,0.18636461691406692,0.0,0.729848186477373,0.19929721145408796,0.07085460206853908,interior,False,1e+19,pow
Lctx_crit,30000,124939294.27801591,6313463659.347981,0.5308780842109039,3.161919938402207,3.148269263257137,0.19065877912224066,-0.1770081039771704,0.47327981642930195,0.47327981642930195,0.05344036714139587,interior,False,1e+19,pow
delta,-0.2285239529866762,258847513.5433881,3135334400.61394,1.0,3.0011767830124505,3.1510419672366847,0.0,-0.14986518422423428,0.48694410823558043,0.1329682044888625,0.380087687275557,ceiling,False,1e+19,log
delta,0.0,324638238.38283294,2708567610.1183624,1.0,2.613658399606514,3.147164150139994,0.0,-0.5335057505334797,0.527582770493775,0.1440652685295002,0.3283519609767247,ceiling,False,1e+19,log
delta,-0.5,292834988.2885884,2899338687.8427453,1.0,3.116791439895584,3.147967958864782,0.0,-0.031176518969198236,0.5094166864194489,0.13910471650493755,0.35147859707561346,ceiling,False,1e+19,log
Q0,0.3,305015533.91500264,2297249113.446267,1.0,3.0582061778824254,3.202554596583459,0.0,-0.14434841870103388,0.42041799892414783,0.11480214157288729,0.46477985950296485,ceiling,False,1e+19,log
Q0,0.7,145548092.0569169,8994791190.801147,0.7,2.9913279538782436,3.0421083706946006,0.12015824720642652,-0.17093866402278354,0.7855048177628824,0.21449518223711775,0.0,floor,False,1e+19,log
recipe,enet_trust_region,209748050.5499912,3553141167.439722,1.0,2.8724379817154984,3.161592766180533,0.0,-0.2891547844650347,0.447158659919641,0.12210412473538995,0.4307372153449692,ceiling,False,1e+19,log
recipe,mean_zero,324638238.38283294,2708567610.1183624,1.0,3.147164150139994,3.147164150139994,0.0,0.0,0.527582770493775,0.1440652685295002,0.3283519609767247,ceiling,False,1e+19,log
Lctx_crit,30000,197694640.83863154,2789705864.7956867,1.0,3.0753687572652337,3.2347544282799006,0.0,-0.159385671014667,0.3309059393917244,0.3309059393917244,0.3381881212165513,ceiling,False,1e+19,log
delta,-0.2285239529866762,670608601.277383,12532233930.530111,0.9538165396199759,2.604208125803867,2.706527174793031,0.018246494656989666,-0.12056554364615338,0.5042534320220255,0.1376948038374811,0.3580517641404934,interior,False,1e+20,exp
delta,0.0,934850184.4283496,9253583832.913689,0.9929294474068631,2.186697072568317,2.7173741828301115,0.002828640271684988,-0.5335057505334797,0.5190428731693534,0.14173330723344477,0.3392238195972019,interior,False,1e+20,exp
delta,-0.5,836239799.892271,10245127455.76516,0.9798120094112998,2.702267810149041,2.712674281695286,0.008042564874424351,-0.01844903642066914,0.5140430000087921,0.1403680085357342,0.3455889914554737,interior,False,1e+20,exp
Q0,0.3,687771547.2709453,11955161382.83839,0.9599016061536555,2.607178262099895,2.7111763532141993,0.015873187770598218,-0.11987127888490264,0.49334519052891684,0.1347161266937629,0.37193868277732023,interior,False,1e+20,exp
Q0,0.7,605496771.0684624,15159248902.268587,0.9292282108400143,2.593479651475911,2.6891498978688517,0.027742470009897238,-0.12341271640283802,0.5507325757288057,0.15038670867901255,0.2988807155921817,interior,False,1e+20,exp
recipe,enet_trust_region,486332475.1653579,16809322362.889694,0.9158619394350078,2.499349783881533,2.705105179075956,0.03284181400316501,-0.23859720919758806,0.4904951610357929,0.13393787864017384,0.37556696032403325,interior,False,1e+20,exp
recipe,mean_zero,934850396.3367038,9253582752.730558,0.9929294320118548,2.720202823101785,2.7173741766575685,0.002828646444216504,0.0,0.5190429302354789,0.14173332281630147,0.33922374694821966,interior,False,1e+20,exp
Lctx_crit,30000,541358312.8228686,10088401850.898748,0.9817992241322442,2.6560461789952567,2.7754019431232124,0.00725550168906144,-0.1266112658170172,0.3276864123048991,0.3276864123048991,0.3446271753902019,interior,False,1e+20,exp
delta,-0.2285239529866762,784251749.1455965,9365112290.439457,1.0,2.621106156607911,2.7374348079855135,0.0,-0.11632865137760284,0.44067634168332404,0.12033401970232635,0.4389896386143496,ceiling,False,1e+20,pow
delta,0.0,1005705694.421174,8084412666.440256,1.0,2.20061943186247,2.7341251823959496,0.0,-0.5335057505334797,0.487832391281378,0.13321076497923495,0.378956843739387,ceiling,False,1e+20,pow
delta,-0.5,926716284.7523116,8498971438.299384,1.0,2.716958359962735,2.7344836699127137,0.0,-0.017525309949978737,0.47256811413100885,0.1290425996987075,0.39838928617028363,ceiling,False,1e+20,pow
Q0,0.3,798986249.9974836,9039567166.477139,1.0,2.6257739811681247,2.7416088601189585,0.0,-0.11583487895083387,0.4333493923166369,0.11833327406192966,0.4483173336214337,ceiling,False,1e+20,pow
Q0,0.7,733438174.9299672,10636267753.503521,1.0,2.604960203984767,2.7230833237581247,0.0,-0.11812311977335754,0.46806268855176514,0.12781231815386865,0.4041249932943663,ceiling,False,1e+20,pow
recipe,enet_trust_region,619528809.615654,10616039358.854143,1.0,2.520897675698959,2.74665457910921,0.0,-0.22575690341025062,0.3946165336094303,0.10775662144428177,0.497626844946288,ceiling,False,1e+20,pow
recipe,mean_zero,1005705694.421174,8084412666.440256,1.0,2.7341251823959496,2.7341251823959496,0.0,0.0,0.487832391281378,0.13321076497923495,0.378956843739387,ceiling,False,1e+20,pow
Lctx_crit,30000,594795132.4754839,8456629876.638589,1.0,2.670627117599993,2.7945437773784207,0.0,-0.12391665977842795,0.30179773726628306,0.30179773726628306,0.3964045254674339,ceiling,False,1e+20,pow
delta,-0.2285239529866762,547357262.9197799,18541849232.17834,1.0,2.5457485673866485,2.6720413749340883,0.0,-0.12629280754743966,0.6089409507117817,0.16628147560769715,0.22477757368052126,ceiling,False,1e+20,log
delta,0.0,727306141.9708511,14776010074.732822,1.0,2.134449294400898,2.6679550449343776,0.0,-0.5335057505334797,0.6448009728705814,0.17607365232519345,0.17912537480422522,ceiling,False,1e+20,log
delta,-0.5,655912475.9496571,16070986283.275684,1.0,2.6476611335122504,2.6684924232348686,0.0,-0.020831289722617958,0.6324696242409799,0.17270637205940356,0.1948240036996166,ceiling,False,1e+20,log
Q0,0.3,614404950.4974099,14889211024.75027,1.0,2.566991769990176,2.689993271420835,0.0,-0.12300150143065924,0.5488802977564309,0.14988091330735606,0.30123878893621303,ceiling,False,1e+20,log
Q0,0.7,490916865.01210296,22796039862.390392,1.0,2.528175099905777,2.657648135414095,0.0,-0.1294730355083179,0.6714576254361373,0.18335269558576126,0.14518967897810153,ceiling,False,1e+20,log
recipe,enet_trust_region,420016736.19513315,22621734905.30345,1.0,2.436587621922659,2.6833135093848397,0.0,-0.2467258874621809,0.5700904357198245,0.1556726949805601,0.27423686929961544,ceiling,False,1e+20,log
recipe,mean_zero,727306141.9708511,14776010074.732822,1.0,2.6679550449343776,2.6679550449343776,0.0,0.0,0.6448009728705814,0.17607365232519345,0.17912537480422522,ceiling,False,1e+20,log
Lctx_crit,30000,429008300.75987697,15722352768.399403,1.0,2.601916858046413,2.7354403366285016,0.0,-0.1335234785820883,0.40470119070710253,0.40470119070710253,0.19059761858579505,ceiling,False,1e+20,log
delta,-0.2285239529866762,1526871580.201956,64531581457.04181,1.0,2.282818876450703,2.3827185270926683,0.0,-0.09989965064196546,0.591188626513468,0.1614339076132777,0.24737746587325427,ceiling,False,1e+21,exp
delta,0.0,2098222145.721298,50351218369.07979,1.0,1.8455989193413043,2.379104669874784,0.0,-0.5335057505334797,0.6338882486763133,0.17309375110521197,0.19301800021847462,ceiling,False,1e+21,exp
delta,-0.5,1926546585.8501852,53910779580.04898,1.0,2.367208958613522,2.3793638014395846,0.0,-0.012154842826062318,0.6231697700427914,0.17016689187301828,0.20666333808419035,ceiling,False,1e+21,exp
Q0,0.3,1538808131.417836,63581588422.12515,1.0,2.2837931242053875,2.383515154137468,0.0,-0.09972202993208089,0.5870391916345699,0.16030083526234656,0.25265997310308347,ceiling,False,1e+21,exp
Q0,0.7,1486185766.014595,67937062655.69837,1.0,2.279506623581014,2.380024758437994,0.0,-0.10051813485697976,0.6058025730224438,0.16542448927332865,0.2287729377042277,ceiling,False,1e+21,exp
recipe,enet_trust_region,1130369620.5542645,80207590878.32005,1.0,2.1961263780901947,2.392896864532662,0.0,-0.196770486442467,0.54398534440019,0.14854426471087853,0.30747039088893136,ceiling,False,1e+21,exp
recipe,mean_zero,2098221871.7077634,50351223675.41187,1.0,2.3791046698747853,2.3791046698747853,0.0,0.0,0.6338882326979937,0.17309374674206549,0.19301802055994086,ceiling,False,1e+21,exp
Lctx_crit,30000,1193458041.7383075,55081460045.04035,1.0,2.3213226068815587,2.4270080009920596,0.0,-0.10568539411050094,0.3944244686486441,0.3944244686486441,0.21115106270271178,ceiling,False,1e+21,exp
delta,-0.2285239529866762,1597500227.8272674,59207171893.68711,1.0,2.288594501452587,2.387467139250599,0.0,-0.0988726377980122,0.56750082353504,0.1549655582133016,0.27753361825165834,ceiling,False,1e+21,pow
delta,0.0,2181344125.931773,46839550573.30059,1.0,1.8504540975995867,2.3839598481330664,0.0,-0.5335057505334797,0.6130390710261208,0.1674005356615327,0.2195603933123465,ceiling,False,1e+21,pow
delta,-0.5,2008263506.14001,49931543939.890015,1.0,2.3723007121882986,2.3842056945623296,0.0,-0.011904982374030738,0.601654184998245,0.16429170278352076,0.23405411221823447,ceiling,False,1e+21,pow
Q0,0.3,1619052939.3901813,57715147444.44196,1.0,2.2903621059556993,2.388932407186519,0.0,-0.09857030123081952,0.5606632747035688,0.1530984515457212,0.2862382737507099,ceiling,False,1e+21,pow
Q0,0.7,1523964892.2385337,64766195773.08237,1.0,2.2825817728197912,2.382524934542217,0.0,-0.0999431617224257,0.5922084513721515,0.1617123877880222,0.24607916083982645,ceiling,False,1e+21,pow
recipe,enet_trust_region,1189194152.9312763,72616153546.96175,1.0,2.2028480410391094,2.397350480962798,0.0,-0.19450243992368846,0.51812823123844,0.14148354901017668,0.34038821975138317,ceiling,False,1e+21,pow
