Model,eval_file_date,raw_ifeval,raw_bbh_accnorm,raw_bbh_acc,raw_math,raw_gpqa,raw_musr,raw_mmlu_pro
0-hero/Matter-0.2-7B-DPO,results_,33.02792147058693,35.84447144592953,,0.8308157099697886,25.922818791946305,38.095238095238095,11.63563829787234
01-ai/Yi-1.5-34B,results_,28.41172533322695,59.53827460510328,,14.04833836858006,36.577181208053695,42.32804232804233,46.65890957446808
01-ai/Yi-1.5-34B-32K,results_,31.186917379220468,59.81600416594341,,13.444108761329304,36.3255033557047,43.91534391534391,47.09109042553192
01-ai/Yi-1.5-34B-Chat,results_,60.66758423205982,60.649192848463805,,23.338368580060422,36.49328859060403,42.72486772486773,45.20445478723404
01-ai/Yi-1.5-34B-Chat-16K,results_,45.6449997118756,60.70126714112133,,18.806646525679756,33.808724832214764,43.91534391534391,45.44547872340425
01-ai/Yi-1.5-6B,results_,26.10606524022926,44.81860788057629,,5.664652567975831,31.20805369127517,43.783068783068785,31.008976063829785
01-ai/Yi-1.5-6B-Chat,results_,48.02302335580704,45.061621246311404,,12.537764350453173,31.79530201342282,44.17989417989418,31.97307180851064
01-ai/Yi-1.5-9B,results_,29.358435617494916,51.3626106578719,,10.196374622356496,37.919463087248324,43.25396825396825,39.16223404255319
01-ai/Yi-1.5-9B-32K,results_,23.031113002389215,49.401145634438464,,9.592145015105741,35.90604026845637,41.7989417989418,37.649601063829785
01-ai/Yi-1.5-9B-Chat,results_,60.45525871354672,55.28554070473876,,11.63141993957704,33.47315436241611,42.46031746031746,39.752327127659576
01-ai/Yi-1.5-9B-Chat-16K,results_,42.14040966856829,51.24110397500434,,12.613293051359516,30.87248322147651,40.87301587301587,39.935172872340424
01-ai/Yi-34B,results_,30.45751938190667,54.504426314875886,,4.45619335347432,36.66107382550335,41.13756613756614,44.1156914893617
01-ai/Yi-34B-200K,results_,15.424850507763843,54.01839958340566,,4.45619335347432,35.65436241610738,38.095238095238095,45.34574468085106
01-ai/Yi-34B-Chat,results_,46.98887839820565,55.268182607186255,,6.268882175226587,33.808724832214764,39.682539682539684,40.93251329787234
01-ai/Yi-6B,results_,28.933784580468714,42.66620378406527,,1.5105740181268883,26.929530201342285,39.285714285714285,29.911901595744684
01-ai/Yi-6B-200K,results_,8.433068702154728,42.45790661343517,,1.2084592145015105,28.187919463087248,45.767195767195766,28.440824468085108
01-ai/Yi-6B-Chat,results_,33.952135888331846,40.87831973615692,,0.6797583081570997,29.446308724832214,36.77248677248677,30.61003989361702
01-ai/Yi-9B,results_,27.08779372066118,49.2622808540184,,4.380664652567976,31.79530201342282,40.476190476190474,35.73803191489361
01-ai/Yi-9B-200K,results_,23.270921155866432,47.80420065960771,,5.81570996978852,31.543624161073826,42.857142857142854,36.22007978723404
01-ai/Yi-Coder-9B-Chat,results_,48.17041006750976,48.029855927790315,,2.9456193353474323,24.748322147651006,39.81481481481482,24.251994680851062
1-800-LLMs/Qwen-2.5-14B-Hindi,results_,58.257091184723194,64.97135913903837,,25.075528700906347,36.241610738255034,44.84126984126984,52.62632978723404
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,results_,30.774677854758703,62.575941676792226,,30.589123867069485,36.99664429530201,44.84126984126984,51.637300531914896
1024m/PHI-4-Hindi,results_,0.816832670647216,66.96754035757681,,23.11178247734139,39.76510067114094,49.074074074074076,52.3936170212766
1024m/QWEN-14B-B100,results_,77.62104549262622,65.11022391945843,,0.0,35.06711409395973,40.87301587301587,51.78690159574468
152334H/miqu-1-70b-sf,results_,51.81740005407873,60.87484811664642,,10.80060422960725,35.06711409395973,45.767195767195766,42.278922872340424
1TuanPham/T-VisStar-7B-v0.1,results_,36.07040430502179,50.32112480472141,,4.531722054380665,28.523489932885905,43.65079365079365,32.106050531914896
1TuanPham/T-VisStar-v0.1,results_,36.07040430502179,50.32112480472141,,4.531722054380665,28.523489932885905,43.65079365079365,32.106050531914896
3rd-Degree-Burn/L-3.1-Science-Writer-8B,results_,42.625012743963794,50.078111438986284,,10.27190332326284,27.432885906040266,39.55026455026455,36.49434840425532
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,results_,22.134381219608418,34.247526471098766,,21.07250755287009,25.671140939597315,30.82010582010582,17.49501329787234
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,results_,28.92381104358657,33.153966325290746,,6.193353474320242,25.587248322147648,33.33333333333333,11.269946808510637
3rd-Degree-Burn/Llama-Squared-8B,results_,27.552449722292405,44.106925880923455,,4.229607250755287,27.181208053691275,30.82010582010582,23.66190159574468
4season/final_model_test_v2,results_,31.911328608093193,63.235549383787536,,1.3595166163141994,32.718120805369125,43.12169312169312,35.280917553191486
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,results_,71.89579205397236,50.9460163166117,,7.02416918429003,30.536912751677853,38.095238095238095,37.32546542553192
AALF/FuseChat-Llama-3.1-8B-SFT-preview,results_,72.80504616639405,52.2131574379448,,11.404833836858005,30.453020134228186,40.07936507936508,37.433510638297875
AALF/gemma-2-27b-it-SimPO-37K,results_,24.065257959990603,38.899496615170975,,0.0,28.02013422818792,34.78835978835979,19.71409574468085
AALF/gemma-2-27b-it-SimPO-37K-100steps,results_,25.67642743476199,39.17722617601111,,0.0,28.859060402684566,33.2010582010582,21.251662234042552
Aashraf995/Creative-7B-nerd,results_,47.21871301480073,55.84099982641902,,28.54984894259819,32.63422818791946,45.10582010582011,44.921875
Aashraf995/Gemma-Evo-10B,results_,73.32211864519476,60.354105190071174,,20.090634441087612,35.40268456375839,45.8994708994709,42.75265957446808
Aashraf995/Qwen-Evo-7B,results_,47.57343847657549,56.81305328935948,,29.984894259818727,32.5503355704698,45.370370370370374,44.622672872340424
Aashraf995/QwenStock-14B,results_,50.08632650256873,65.2838048949835,,33.383685800604226,38.92617449664429,47.883597883597886,53.82313829787234
abacusai/bigyi-15b,results_,20.940327220663395,43.32581149106058,,2.3413897280966767,30.956375838926174,35.317460317460316,30.028257978723406
abacusai/Liberated-Qwen1.5-14B,results_,36.370164496868306,49.2622808540184,,11.178247734138973,28.355704697986578,41.66666666666667,35.07313829787234
AbacusResearch/Jallabi-34B,results_,35.28604103777976,59.868078458600934,,3.927492447129909,33.89261744966443,48.148148148148145,46.81682180851064
abideen/MedPhi-4-14B-v1,results_,62.76834355066778,68.77278250303766,,24.546827794561935,34.395973154362416,41.4021164021164,53.38264627659575
