family,N_params_B,D_tokens_B,C_B,N_opt_B,dev_dex
Phi,1.3,405,3159.0000000000005,3.0658440430946565,0.37260670657874356
LLaMA,65.0,11349,4426110.0,80.77037637191856,0.09433874995849933
LLaMA,13.0,2229,173862.0,18.72812756718598,0.15855100660130916
LLaMA,33.0,4583,907434.0,39.49220069830793,0.07799739554266316
Qwen2,20.0,3000,360000.0,26.014742350430595,0.11418953334415094
Qwen2,72.0,33739,14575248.0,138.342986531771,0.28362465050968755
Pythia,1.4,129,1083.6,1.8911956672086365,0.13060842854114674
Pythia,12.0,300,21600.0,7.3034449570198205,-0.21565348552781005
Pythia,2.8,300,5039.999999999999,3.7857792178258167,0.13099725148264518
Pythia,0.16,13,12.48,0.25199450220761427,0.1972710831774387
Phi,2.7,1084,17560.800000000003,6.651684638455523,0.39156788663726083
LLaMA,7.0,1229,51618.0,10.823307571137372,0.189261960163145
LLaMA,3.5,2200,46200.0,10.294732253178985,0.4685470115596728
Pythia,0.41,41,100.86,0.6473652595414867,0.1983655328258782
Pythia,6.9,300,12420.000000000002,5.688692649528321,-0.08383662053419849
Qwen2,0.5,361,1083.0,1.8907227732840102,0.5776578508658565
Phi,14.0,4790,402360.0,27.354803647221654,0.29090556608068274
Phi,4.2,350,8820.000000000002,4.87407652970937,0.0646430535253949
Phi,7.0,4448,186816.0,19.345773250461985,0.44148805313824335
Qwen2,7.0,2221,93282.0,14.138381314292522,0.3053016504571492
Gemma,2.0,1049,12588.0,5.72330861019346,0.4566171687470318
Gemma,7.0,4109,172578.0,18.66555041196606,0.4259427609641214
Pythia,0.07,6,2.5200000000000005,0.12236779600955928,0.24256909792961368
Qwen2,1.5,680,6120.0,4.1326443304606535,0.4401367709622873
Pythia,1.0,111,666.0,1.5180533881784937,0.18128704546170013
Phi,18.0,2800,302400.0,24.045286154009293,0.12575744471441075
GPT2,0.12,40,28.799999999999997,0.3675986699993795,0.4861926853580285
GPT2,0.35,40,83.99999999999999,0.5960471501285135,0.23121257148173607
GPT2,0.77,40,184.8,0.850926481061451,0.04340131405594401
GPT2,1.5,40,360.0,1.1498815177215171,-0.11543816552871906
OPT,0.13,300,234.0,0.9466279668928638,0.8622359786806507
OPT,0.35,300,629.9999999999999,1.4804377632702468,0.6263221102751176
OPT,1.3,300,2340.0,2.6773273600711462,0.3137581238410408
OPT,2.7,300,4860.000000000001,3.7241213281945487,0.13966005726606767
OPT,6.7,300,12060.0,5.613640493357786,-0.07683020643487493
OPT,13.0,300,23400.0,7.572226939917562,-0.23471973099856924
OPT,30.0,300,54000.0,11.046036828826736,-0.4339147678391051
BLOOM,0.56,350,1176.0,1.9623786268624237,0.5445947781237133
BLOOM,1.7,350,3569.9999999999995,3.2399199397968386,0.2800853573054868
BLOOM,3.0,350,6300.0,4.187090036538665,0.14479104506612078
BLOOM,7.1,350,14909.999999999998,6.177937111194392,-0.06041486566660259
Falcon,7.0,1500,63000.0,11.842255992818137,0.22833640493191643
Falcon,40.0,1500,360000.0,26.014742350430595,-0.1868404623198301
Mistral,7.0,8000,336000.0,25.21682880801857,0.5565924300985724
Yi,6.0,3000,108000.0,15.105259697143126,0.4009769458967374
Yi,34.0,3000,612000.0,33.057676116337916,-0.012206596703506545
LLaMA,70.0,15000,6300000.0,94.72808008467229,0.13138069525269636
Qwen2,32.0,18000,3456000.0,72.23318142689942,0.3535867649595934
Qwen2,72.0,18000,7776000.0,104.17294676937637,0.16042245291386115
Gemma,9.0,8000,432000.0,28.246953504844637,0.4967291056407036
Cerebras-GPT,0.11,2050,1353.0,2.090625305724677,1.2788835177991835
Cerebras-GPT,0.26,2050,3198.0,3.08287662762098,1.0739827972501728
Cerebras-GPT,0.59,2050,7257.0,4.463168084759632,0.8787912312165367
Cerebras-GPT,1.3,2050,15990.000000000002,6.376121453439378,0.6906132286747204
Cerebras-GPT,2.7,2050,33210.00000000001,8.869087228571633,0.5165151620997472
Cerebras-GPT,6.7,2050,82410.0,13.3690239435806,0.30002489839880475
Cerebras-GPT,13.0,2050,159900.0,18.033446100755103,0.14213537383511032
