a,b,conflict_rate,expected_if_independent,multiplier,z,p_value,significant
edu,read,0.05939878977161819,0.12500976009681647,0.4751532178416752,-44.90193670404597,0.0,False
edu,reason,0.03074370486043334,0.12500487995315246,0.2459400374765771,-64.51025050157585,0.0,False
edu,clean,0.10308413039234823,0.12499511966582448,0.8247052418361975,-14.995895253334279,7.810243639680274e-51,False
edu,struct,0.14954128440366973,0.12500976009681647,1.1962368721278587,16.788548412262205,2.959962536501614e-63,True
read,reason,0.12067148155377708,0.12500487995315246,0.9653341661461585,-2.9656814270759777,0.0030201315213896586,False
read,clean,0.04415381612336521,0.12499511966582448,0.35324432058956234,-55.32784051577362,0.0,False
read,struct,0.0647862580519227,0.12500976009681647,0.5182495990852842,-41.214934995059174,0.0,False
reason,clean,0.09970720281085302,0.12499023952216048,0.7977199115069714,-17.304016251494343,4.3871059776332514e-67,False
reason,struct,0.16798750731992973,0.12500487995315246,1.3438475952529667,29.41635361451024,3.393097580334791e-190,True
clean,struct,0.044700370876439584,0.12499511966582448,0.3576169293324924,-54.953778088695685,0.0,False
