domain,elasticity_t_recentered
train_the_pile_enron_emails,-5.368445221877153
train_the_pile_philpapers,-4.869298180282333
train_the_pile_ubuntu_irc,-2.183296022959545
train_the_pile_nih_exporter,-1.9505955940087494
train_the_pile_hackernews,-1.5811598204525008
train_the_pile_dm_mathematics,-0.3766856862592622
train_the_pile_europarl,0.0900631741121762
train_the_pile_gutenberg_pg_19,1.1676311989827088
train_the_pile_pubmed_abstracts,1.373116101103907
train_the_pile_stackexchange,1.3958173338823276
train_the_pile_wikipedia_en,1.5802258284950224
train_the_pile_uspto_backgrounds,1.6286616591454184
train_the_pile_pile_cc,1.6932381240893262
train_the_pile_pubmed_central,1.700011266998455
train_the_pile_arxiv,1.8552400577127137
train_the_pile_freelaw,1.9120123720715045
train_the_pile_github,1.9334634092459828
