quality_domain,weighting,n_docs,Q_mean,CI_low,CI_high
arxiv,entropy,1419,0.42441703157666505,0.41972779134811206,0.42951962188471515
arxiv,critic,1419,0.6491618638916584,0.64736413226026,0.6509238704888739
book,entropy,171,0.5604230747027613,0.547068313148582,0.5731246901813137
book,critic,171,0.5460009021729869,0.5366806190823966,0.5548554243583618
c4,entropy,10000,0.28050087827995085,0.27883954034444397,0.28218760890581546
c4,critic,10000,0.5851308153150384,0.5837816007434635,0.5864303145261003
commoncrawl,entropy,9640,0.2719756817308305,0.2702826717680228,0.2734607948531598
commoncrawl,critic,9640,0.5864358830881474,0.5852129340707384,0.587667800064423
github,entropy,10000,0.17114534251892477,0.17016930074637163,0.1720773205190837
github,critic,10000,0.48786746189897,0.4868460882224574,0.48888653576859425
stackexchange,entropy,10000,0.23013418023067503,0.22932744938210206,0.23090988010760824
stackexchange,critic,10000,0.5827430293801588,0.5818155219416454,0.5836733391931577
wikipedia,entropy,10000,0.20534445980427254,0.20435128951479198,0.2062831693754014
wikipedia,critic,10000,0.5123657412928705,0.5110762610855853,0.5135910200194307
