indicator,iqr_outlier_rate,z3_outlier_rate
fineweb_edu,0.05202106383369112,0.012909854865048347
fluency_en,0.0,0.0
modernbert_cleanliness,0.0,0.0
modernbert_readability,0.0,0.0
modernbert_reasoning,0.1125227060053944,0.0
modernbert_professionalism,0.09626612355736593,0.0
qurater,0.027878387552521974,0.0
ad_en,0.14245977138034163,0.021254655877873802
dsir_books,0.1293994605603567,0.013658464982293903
dsir_wiki,0.12906919139098366,0.013577732518669382
dsir_math,0.12427661877763711,0.011247500045870717
rps_doc_word_count,0.13402322893157922,0.009820003302691694
rps_doc_num_sentences,0.1284380103117374,0.008018201500889891
rps_doc_unigram_entropy,0.006528320581273738,0.0029614135520449167
rps_doc_frac_unique_words,0.0,0.0
rps_doc_frac_no_alph_words,0.010623658281499422,0.006803544889084604
rps_doc_frac_chars_top_2gram,0.06085392928570118,0.021115208895249628
rps_doc_frac_chars_top_3gram,0.06249793581769142,0.019317076750885304
rps_lines_uppercase_letter_fraction,0.01719234509458542,0.0056329241665290545
rps_lines_ending_with_terminal_punctution_mark,0.06786297499128456,0.041448780756316396
rps_lines_numerical_chars_fraction,0.0758408102603622,0.017247389956147594
rps_doc_mean_word_length,0.03179391203831122,0.015849250472468396
