model,test_set,r2
linear_OLS,1m,0.32727815492865775
linear_OLS,60m,-47.26019377291228
linear_OLS,1B,-3781.2920851772124
linear_OLS,est_10b,-1389.6598907046482
linear_OLS,est_70b,-1449.7002779578543
ilr_linear_ridge,1m,0.13129904246892077
ilr_linear_ridge,60m,-48.179793493020384
ilr_linear_ridge,1B,-3360.148045128734
ilr_linear_ridge,est_10b,-1378.6875703644791
ilr_linear_ridge,est_70b,-1439.3884150506533
GBDT,1m,0.9156899316031762
GBDT,60m,-45.48137457736759
GBDT,1B,-2941.95421754394
GBDT,est_10b,-1397.6301103463766
GBDT,est_70b,-1456.437511531604
