model,target,cv_r2
E1_ilr_linear_ridge,mean_loss,0.25027349983091063
E2_ilr_quad_enet,mean_loss,0.4787122636959332
E1_ilr_linear_ridge,metric/the_pile_arxiv_val_loss,0.7709768056427424
E2_ilr_quad_enet,metric/the_pile_arxiv_val_loss,0.8293988874210003
E1_ilr_linear_ridge,metric/the_pile_freelaw_val_loss,0.8715248637051386
E2_ilr_quad_enet,metric/the_pile_freelaw_val_loss,0.9211021476598509
E1_ilr_linear_ridge,metric/the_pile_pubmed_central_val_loss,0.8119703385761615
E2_ilr_quad_enet,metric/the_pile_pubmed_central_val_loss,0.864479770434734
E1_ilr_linear_ridge,metric/the_pile_wikipedia_en_val_loss,0.8176122921825022
E2_ilr_quad_enet,metric/the_pile_wikipedia_en_val_loss,0.9105029559471838
E1_ilr_linear_ridge,metric/the_pile_dm_mathematics_val_loss,0.7385106441160638
E2_ilr_quad_enet,metric/the_pile_dm_mathematics_val_loss,0.7985777399495599
E1_ilr_linear_ridge,metric/the_pile_github_val_loss,0.7622131802236339
E2_ilr_quad_enet,metric/the_pile_github_val_loss,0.865965102716469
E1_ilr_linear_ridge,metric/the_pile_stackexchange_val_loss,0.7560811853355134
E2_ilr_quad_enet,metric/the_pile_stackexchange_val_loss,0.8766207703243966
E1_ilr_linear_ridge,metric/the_pile_gutenberg_pg_19_val_loss,0.7166302085953773
E2_ilr_quad_enet,metric/the_pile_gutenberg_pg_19_val_loss,0.8536514654576973
E1_ilr_linear_ridge,metric/the_pile_pile_cc_val_loss,0.7397246317450499
E2_ilr_quad_enet,metric/the_pile_pile_cc_val_loss,0.8722050266061344
E1_ilr_linear_ridge,metric/the_pile_ubuntu_irc_val_loss,0.7667221762973571
E2_ilr_quad_enet,metric/the_pile_ubuntu_irc_val_loss,0.8299297922291058
E1_ilr_linear_ridge,metric/the_pile_hackernews_val_loss,0.6515116718487339
E2_ilr_quad_enet,metric/the_pile_hackernews_val_loss,0.7815443986398923
E1_ilr_linear_ridge,metric/the_pile_pubmed_abstracts_val_loss,0.6728564022302378
E2_ilr_quad_enet,metric/the_pile_pubmed_abstracts_val_loss,0.8755869958116239
E1_ilr_linear_ridge,metric/the_pile_uspto_backgrounds_val_loss,0.8400824353006366
E2_ilr_quad_enet,metric/the_pile_uspto_backgrounds_val_loss,0.9236339010248692
