r2_raw,r2_scale_corrected,rmse,scale,model,domain
0.44809587603361534,0.4960576104313943,0.5791512496176344,1M,ref_ridge,arxiv
0.5709911138236359,0.5730400396336978,0.4827255479474139,1M,ref_ridge,freelaw
0.5945294917669306,0.5979775671744113,0.5324497923929391,1M,ref_ridge,pubmed_central
0.711963829517408,0.7123242709349757,0.29323223118231656,1M,ref_ridge,wikipedia_en
0.3525489614731597,0.354687190142452,1.2338352765284497,1M,ref_ridge,dm_mathematics
0.5679774799020773,0.5927326576845532,0.6055450834919195,1M,ref_ridge,github
0.5520066565036508,0.5735589823493386,0.44446096047820044,1M,ref_ridge,stackexchange
0.6341461082312968,0.6363557539428188,0.27137089131792197,1M,ref_ridge,gutenberg_pg_19
0.7541335860578939,0.7541729604313782,0.15891762937023807,1M,ref_ridge,pile_cc
0.41854725338742027,0.4203908207159842,0.7605602992625876,1M,ref_ridge,ubuntu_irc
0.4254784072029292,0.42777769126165066,0.2549001791183538,1M,ref_ridge,hackernews
0.7686503115565408,0.7688289586615076,0.2743118673409745,1M,ref_ridge,pubmed_abstracts
0.7176146202580426,0.7193245945131161,0.271058688450299,1M,ref_ridge,uspto_backgrounds
0.8749219060378868,0.8881811520452109,0.2757089125933828,1M,ours_e2,arxiv
0.9290583698455782,0.932056451218869,0.19629883499512946,1M,ours_e2,freelaw
0.9261201287606429,0.9299681614824011,0.22728045558151333,1M,ours_e2,pubmed_central
0.9310293003547205,0.9336968590552845,0.14348962696975512,1M,ours_e2,wikipedia_en
0.8399578248536965,0.8399581957898261,0.6134383735232513,1M,ours_e2,dm_mathematics
0.9023514279704434,0.9118688406321581,0.28788977333960386,1M,ours_e2,github
0.9015910837265976,0.9107656983923013,0.20831237216041673,1M,ours_e2,stackexchange
0.8933755684926628,0.8955913294322285,0.14650005435098035,1M,ours_e2,gutenberg_pg_19
0.898541136181379,0.902056060698608,0.10208630191449762,1M,ours_e2,pile_cc
0.8591687685586198,0.864663401916996,0.37430525728956954,1M,ours_e2,ubuntu_irc
0.8290675852128423,0.8319878298150569,0.13903661208059118,1M,ours_e2,hackernews
0.9172517683333516,0.920468533943407,0.16405501009523157,1M,ours_e2,pubmed_abstracts
0.9477690176388004,0.9492041772848012,0.11657524203254399,1M,ours_e2,uspto_backgrounds
-9.268147597902265,0.3161046476333945,1.82619184293264,60M,ref_ridge,arxiv
-4.003321537582652,0.5622257978129444,1.4408860253021576,60M,ref_ridge,freelaw
-8.524601036126525,0.5446503124724948,1.7554062547141949,60M,ref_ridge,pubmed_central
-6.481822120532634,0.7012386137171889,1.3695608592620214,60M,ref_ridge,wikipedia_en
-2.8479147156043965,0.34116721136137385,1.507007966632843,60M,ref_ridge,dm_mathematics
-13.716121750423973,0.4715777084298486,2.6322484321698747,60M,ref_ridge,github
-9.041609600763636,0.5247838156215021,1.7628627648556427,60M,ref_ridge,stackexchange
-5.9367490335021245,0.6788534170696995,1.0136927716089643,60M,ref_ridge,gutenberg_pg_19
-10.818122066972666,0.7397370606831597,1.0788595972952542,60M,ref_ridge,pile_cc
-7.3570426228972305,0.4985531566469703,2.031157528862466,60M,ref_ridge,ubuntu_irc
-9.942932261479807,0.4380700081900263,1.0189770178003994,60M,ref_ridge,hackernews
-5.331629930073108,0.7581071482996191,1.3764346826309533,60M,ref_ridge,pubmed_abstracts
-9.789511242288558,0.6628708307489894,1.4198647238917843,60M,ref_ridge,uspto_backgrounds
-8.11870773624247,0.6061215910426023,1.7209450179785644,60M,ours_e2,arxiv
-3.720154093076114,0.8919086184363682,1.3995180718602074,60M,ours_e2,freelaw
-8.410685279961605,0.6879173985743221,1.7448772075512826,60M,ours_e2,pubmed_central
-6.682653968359141,0.919497154030972,1.387820450434507,60M,ours_e2,wikipedia_en
-3.2016508567339104,-0.3378071113222403,1.574754325051272,60M,ours_e2,dm_mathematics
-12.883001950663534,0.7064829652538012,2.5566535546496723,60M,ours_e2,github
-8.354084328948865,0.8392710315706291,1.7014432912486699,60M,ours_e2,stackexchange
-5.747888983213631,0.8681032507459845,0.9997981365336285,60M,ours_e2,gutenberg_pg_19
-11.044918397156225,0.8839784871991268,1.0891623608642198,60M,ours_e2,pile_cc
-7.480677493991617,0.6250663106587147,2.0461269347682087,60M,ours_e2,ubuntu_irc
-9.62343302239663,0.8004460748039908,1.003991360350845,60M,ours_e2,hackernews
-5.410547639068078,0.9043001086886286,1.3849860895466104,60M,ours_e2,pubmed_abstracts
-9.52786733254904,0.8980675397575716,1.4025433237149558,60M,ours_e2,uspto_backgrounds
-933.8340357800298,-6.779082399505135,3.2078432075729646,1B,ref_ridge,arxiv
-582.4821520798872,0.08260127712551635,3.346661420670346,1B,ref_ridge,freelaw
-4148.491744891312,-25.63817825847515,3.3755737274170143,1B,ref_ridge,pubmed_central
-433.174982211177,0.5477242005057913,3.2967911586571463,1B,ref_ridge,wikipedia_en
-73.35867400723009,-0.4195556978785102,2.5634071741786615,1B,ref_ridge,dm_mathematics
-1344.6584333355183,-3.0208984086177253,4.403132654877838,1B,ref_ridge,github
-741.3172305334995,-0.2925404771976241,3.519954877531793,1B,ref_ridge,stackexchange
-119.4905350593379,0.4916428476994251,2.6562594225786653,1B,ref_ridge,gutenberg_pg_19
-702.6053321214516,0.18788817296610894,2.672843426929851,1B,ref_ridge,pile_cc
-88.99304683870736,0.3088065281392782,4.011038893693707,1B,ref_ridge,ubuntu_irc
-132.18641690324358,0.12876050655609028,2.272143644802294,1B,ref_ridge,hackernews
-711.7462649997952,-0.5875076989459813,3.0191964738442483,1B,ref_ridge,pubmed_abstracts
-420.5394886617086,0.31785957447462343,2.8838628945312514,1B,ref_ridge,uspto_backgrounds
-388.28920151367606,-4.155070608474249,2.0700558043299813,1B,ours_e2,arxiv
-327.4440238116264,-1.5054535197331282,2.510895690538128,1B,ours_e2,freelaw
-1935.5011013568028,-11.941681470935523,2.305998496205637,1B,ours_e2,pubmed_central
-314.18708162545533,0.2339160956764843,2.808945052332046,1B,ours_e2,wikipedia_en
-49.62810226379931,-17.614449688374588,2.115181315328379,1B,ours_e2,dm_mathematics
-691.6540537454711,-5.861666017340887,3.1590212055339255,1B,ours_e2,github
-433.0973781691227,-2.6512634719719794,2.691757346124093,1B,ours_e2,stackexchange
-97.71600241446016,0.8140564133778052,2.404295266841035,1B,ours_e2,gutenberg_pg_19
-576.8999912967524,0.5643941911477295,2.42234112171529,1B,ours_e2,pile_cc
-78.48743847443647,-0.6634406760116278,3.76965535602749,1B,ours_e2,ubuntu_irc
-112.7120331826651,0.6827331457640954,2.0994668843416506,1B,ours_e2,hackernews
-510.0519036965011,-0.3921962500276879,2.5565624492712327,1B,ours_e2,pubmed_abstracts
-313.99116310166437,-0.07970546526314459,2.492898877407293,1B,ours_e2,uspto_backgrounds
-121.50973707482824,-2.421447123372277,3.3843185002187792,10b,ref_ridge,arxiv
