scale,model,n,macro_r2_raw,macro_r2_corrected,macro_rmse
1M,ref_ridge,256,0.5782064381318924,0.5867099306059446,0.4740399766537884
1M,ours_e2,256,0.8961695296897862,0.9008051301313191,0.2303828328404975
60M,ref_ridge,256,-7.927655808934582,0.5567645945144009,1.556396189843015
60M,ours_e2,256,-7.708174698643143,0.7148733399569592,1.5394323172732802
1B,ref_ridge,64,-802.5291028786844,-2.6671138333194837,3.171439152098906
1B,ours_e2,64,-448.43534420403336,-3.2746021017051303,2.5697749896920143
10b,ref_ridge,63,-235.95405691582528,-1.323350056012362,3.5867542328540503
10b,ours_e2,63,-235.48384415668124,-3.485052258353951,3.600436741919334
70b,ref_ridge,63,-383.67889930894256,-2.69013467218272,3.969714668764068
70b,ours_e2,63,-383.61260096844813,-6.512502959360916,3.986197650643286
