model,target,cv_r2
A_linear_enet,mean_loss,0.2453463326425257
B_quad_enet,mean_loss,0.5807176279858419
C_loglinear_mixture,mean_loss,0.24302590607068533
D_clr_quad_enet,mean_loss,0.3936114100396021
A_linear_enet,metric/the_pile_arxiv_val_loss,0.48203667409638784
B_quad_enet,metric/the_pile_arxiv_val_loss,0.6176865672246006
C_loglinear_mixture,metric/the_pile_arxiv_val_loss,0.5906225666500039
D_clr_quad_enet,metric/the_pile_arxiv_val_loss,0.8359066760977462
A_linear_enet,metric/the_pile_freelaw_val_loss,0.6014188766396888
B_quad_enet,metric/the_pile_freelaw_val_loss,0.7553288114857901
C_loglinear_mixture,metric/the_pile_freelaw_val_loss,0.7532287221821719
D_clr_quad_enet,metric/the_pile_freelaw_val_loss,0.8522603923659001
A_linear_enet,metric/the_pile_pubmed_central_val_loss,0.524410239899115
B_quad_enet,metric/the_pile_pubmed_central_val_loss,0.6595568105290122
C_loglinear_mixture,metric/the_pile_pubmed_central_val_loss,0.6532207147092475
D_clr_quad_enet,metric/the_pile_pubmed_central_val_loss,0.810946012008867
A_linear_enet,metric/the_pile_wikipedia_en_val_loss,0.6820190959754997
B_quad_enet,metric/the_pile_wikipedia_en_val_loss,0.7998044442718157
C_loglinear_mixture,metric/the_pile_wikipedia_en_val_loss,0.8225872894210321
D_clr_quad_enet,metric/the_pile_wikipedia_en_val_loss,0.8148454217652773
A_linear_enet,metric/the_pile_dm_mathematics_val_loss,0.3882143109939834
B_quad_enet,metric/the_pile_dm_mathematics_val_loss,0.48527325369854424
C_loglinear_mixture,metric/the_pile_dm_mathematics_val_loss,0.4381814648910699
D_clr_quad_enet,metric/the_pile_dm_mathematics_val_loss,0.8806886329270496
A_linear_enet,metric/the_pile_github_val_loss,0.5435540568533378
B_quad_enet,metric/the_pile_github_val_loss,0.7027267606619075
C_loglinear_mixture,metric/the_pile_github_val_loss,0.6658808221360306
D_clr_quad_enet,metric/the_pile_github_val_loss,0.8277454200857164
A_linear_enet,metric/the_pile_stackexchange_val_loss,0.5399358833658034
B_quad_enet,metric/the_pile_stackexchange_val_loss,0.71518122820028
C_loglinear_mixture,metric/the_pile_stackexchange_val_loss,0.6823459276367203
D_clr_quad_enet,metric/the_pile_stackexchange_val_loss,0.8079484335599869
A_linear_enet,metric/the_pile_gutenberg_pg_19_val_loss,0.6770597678321347
B_quad_enet,metric/the_pile_gutenberg_pg_19_val_loss,0.7918869624586302
C_loglinear_mixture,metric/the_pile_gutenberg_pg_19_val_loss,0.7942586962204081
D_clr_quad_enet,metric/the_pile_gutenberg_pg_19_val_loss,0.7162813785978565
A_linear_enet,metric/the_pile_pile_cc_val_loss,0.7500769503833802
B_quad_enet,metric/the_pile_pile_cc_val_loss,0.8584266840967609
C_loglinear_mixture,metric/the_pile_pile_cc_val_loss,0.8604485960233383
D_clr_quad_enet,metric/the_pile_pile_cc_val_loss,0.7139359420178141
A_linear_enet,metric/the_pile_ubuntu_irc_val_loss,0.5483628380574561
B_quad_enet,metric/the_pile_ubuntu_irc_val_loss,0.6740384577961567
C_loglinear_mixture,metric/the_pile_ubuntu_irc_val_loss,0.706586767723795
D_clr_quad_enet,metric/the_pile_ubuntu_irc_val_loss,0.8410443920424723
A_linear_enet,metric/the_pile_hackernews_val_loss,0.6439593621692672
B_quad_enet,metric/the_pile_hackernews_val_loss,0.7609318982348714
C_loglinear_mixture,metric/the_pile_hackernews_val_loss,0.7448779899144917
D_clr_quad_enet,metric/the_pile_hackernews_val_loss,0.7129302546124643
A_linear_enet,metric/the_pile_pubmed_abstracts_val_loss,0.7255958066576162
B_quad_enet,metric/the_pile_pubmed_abstracts_val_loss,0.8423209629981036
C_loglinear_mixture,metric/the_pile_pubmed_abstracts_val_loss,0.8636925638180063
D_clr_quad_enet,metric/the_pile_pubmed_abstracts_val_loss,0.7141082003455347
A_linear_enet,metric/the_pile_uspto_backgrounds_val_loss,0.7281287032873831
B_quad_enet,metric/the_pile_uspto_backgrounds_val_loss,0.8577261058073616
C_loglinear_mixture,metric/the_pile_uspto_backgrounds_val_loss,0.8853017414403693
D_clr_quad_enet,metric/the_pile_uspto_backgrounds_val_loss,0.783477868444485
