domain,n_shared,spearman_gamma10_gamma70,pearson_gamma10_loss1m,mean_scaling_fit_r2
arxiv,63,0.9991359447004609,0.5410307462834403,0.9999481245367442
freelaw,63,0.9991359447004609,0.037244279637277694,0.9999481825721885
pubmed_central,63,0.9991359447004609,0.48322280902906345,0.99994812347297
wikipedia_en,63,0.9991359447004609,0.3240410066718063,0.9999481307696294
dm_mathematics,63,0.9991359447004609,0.6944361837868762,0.9999481830817015
github,63,0.9991359447004609,0.5670053040514168,0.9999480955332928
stackexchange,63,0.9991359447004609,0.687984248941974,0.9999481353949043
gutenberg_pg_19,63,0.9991359447004609,0.26619710095064575,0.9999481143340109
pile_cc,63,0.9991359447004609,0.30951427009679894,0.9999481510970197
ubuntu_irc,63,0.9991359447004609,0.5358978205389301,0.9999481303270088
hackernews,63,0.9991359447004609,0.5732390416692368,0.9999481086063903
pubmed_abstracts,63,0.9991359447004609,0.3107073782893442,0.9999481766236799
uspto_backgrounds,63,0.9991359447004609,0.20263574120092137,0.9999481965021139
