loss_domain,donor,recipient_1,recipient_2,n_test_recipes,mean_nonadditive_delta_loss
metric/the_pile_arxiv_val_loss,wikipedia_en,uspto_backgrounds,freelaw,49,-0.028660164598028032
metric/the_pile_arxiv_val_loss,wikipedia_en,uspto_backgrounds,stackexchange,49,-0.06670689247977594
metric/the_pile_arxiv_val_loss,wikipedia_en,uspto_backgrounds,github,49,-0.0543441977800503
metric/the_pile_arxiv_val_loss,wikipedia_en,uspto_backgrounds,arxiv,49,-0.048179751060906224
metric/the_pile_arxiv_val_loss,wikipedia_en,uspto_backgrounds,pubmed_central,49,-0.03825758959703335
metric/the_pile_arxiv_val_loss,wikipedia_en,uspto_backgrounds,pile_cc,49,-0.03701202301668829
metric/the_pile_arxiv_val_loss,wikipedia_en,freelaw,stackexchange,49,-0.033883179794626135
metric/the_pile_arxiv_val_loss,wikipedia_en,freelaw,github,49,-0.029870924053146505
metric/the_pile_arxiv_val_loss,wikipedia_en,freelaw,arxiv,49,-0.07448416467384335
metric/the_pile_arxiv_val_loss,wikipedia_en,freelaw,pubmed_central,49,-0.06914733436229666
metric/the_pile_arxiv_val_loss,wikipedia_en,freelaw,pile_cc,49,-0.05072036810551156
metric/the_pile_arxiv_val_loss,wikipedia_en,stackexchange,github,49,0.0295951841255717
metric/the_pile_arxiv_val_loss,wikipedia_en,stackexchange,arxiv,49,0.14085533826304708
metric/the_pile_arxiv_val_loss,wikipedia_en,stackexchange,pubmed_central,49,0.02036434583221307
metric/the_pile_arxiv_val_loss,wikipedia_en,stackexchange,pile_cc,49,-0.027034394874971744
metric/the_pile_arxiv_val_loss,wikipedia_en,github,arxiv,49,-0.01114959772363741
metric/the_pile_arxiv_val_loss,wikipedia_en,github,pubmed_central,49,-0.019462649645819174
metric/the_pile_arxiv_val_loss,wikipedia_en,github,pile_cc,49,-0.0312562448073464
metric/the_pile_arxiv_val_loss,wikipedia_en,arxiv,pubmed_central,49,0.06418893278714036
metric/the_pile_arxiv_val_loss,wikipedia_en,arxiv,pile_cc,49,-0.041652894506008536
metric/the_pile_arxiv_val_loss,wikipedia_en,pubmed_central,pile_cc,49,-0.020116669133490885
metric/the_pile_arxiv_val_loss,uspto_backgrounds,wikipedia_en,freelaw,59,-0.02865460373170691
metric/the_pile_arxiv_val_loss,uspto_backgrounds,wikipedia_en,stackexchange,59,-0.028801607554636822
metric/the_pile_arxiv_val_loss,uspto_backgrounds,wikipedia_en,github,59,-0.056388879488594855
metric/the_pile_arxiv_val_loss,uspto_backgrounds,wikipedia_en,arxiv,59,-0.04398828336759009
metric/the_pile_arxiv_val_loss,uspto_backgrounds,wikipedia_en,pubmed_central,59,-0.01942655297441483
metric/the_pile_arxiv_val_loss,uspto_backgrounds,wikipedia_en,pile_cc,59,-0.043749446882041396
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,stackexchange,59,-0.02583494823986758
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,github,59,-0.026799363777404113
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,arxiv,59,-0.07625619852016008
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,pubmed_central,59,-0.05201283035820469
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,pile_cc,59,-0.04919452501628855
metric/the_pile_arxiv_val_loss,uspto_backgrounds,stackexchange,github,59,0.032566411523372
metric/the_pile_arxiv_val_loss,uspto_backgrounds,stackexchange,arxiv,59,0.15483284634606145
metric/the_pile_arxiv_val_loss,uspto_backgrounds,stackexchange,pubmed_central,59,0.03170589860262065
metric/the_pile_arxiv_val_loss,uspto_backgrounds,stackexchange,pile_cc,59,-0.019013639535063975
metric/the_pile_arxiv_val_loss,uspto_backgrounds,github,arxiv,59,-0.004727999767048562
metric/the_pile_arxiv_val_loss,uspto_backgrounds,github,pubmed_central,59,-0.015937276235239533
metric/the_pile_arxiv_val_loss,uspto_backgrounds,github,pile_cc,59,-0.022547020717313303
metric/the_pile_arxiv_val_loss,uspto_backgrounds,arxiv,pubmed_central,59,0.07927567814124607
metric/the_pile_arxiv_val_loss,uspto_backgrounds,arxiv,pile_cc,59,-0.030203118089123977
metric/the_pile_arxiv_val_loss,uspto_backgrounds,pubmed_central,pile_cc,59,-0.020412150435267545
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,uspto_backgrounds,47,0.029555796288006572
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,stackexchange,47,-0.031696078779868256
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,github,47,-0.06149819051312814
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,arxiv,47,-0.042246992769690773
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,pubmed_central,47,-0.020324209222423197
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,pile_cc,47,-0.046781130312890724
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,stackexchange,47,-0.053296618180136694
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,github,47,-0.049453266524978154
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,arxiv,47,-0.03694267021384406
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,pubmed_central,47,-0.0303243128541907
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,pile_cc,47,-0.0285830355802154
metric/the_pile_arxiv_val_loss,freelaw,stackexchange,github,47,0.01900409350612443
metric/the_pile_arxiv_val_loss,freelaw,stackexchange,arxiv,47,0.16414384886841862
metric/the_pile_arxiv_val_loss,freelaw,stackexchange,pubmed_central,47,0.026247103273731892
metric/the_pile_arxiv_val_loss,freelaw,stackexchange,pile_cc,47,-0.030815875422761874
metric/the_pile_arxiv_val_loss,freelaw,github,arxiv,47,-0.014129471930068254
metric/the_pile_arxiv_val_loss,freelaw,github,pubmed_central,47,-0.029911013379763506
metric/the_pile_arxiv_val_loss,freelaw,github,pile_cc,47,-0.03907032950742908
metric/the_pile_arxiv_val_loss,freelaw,arxiv,pubmed_central,47,0.06605280945178005
metric/the_pile_arxiv_val_loss,freelaw,arxiv,pile_cc,47,-0.04481447390937063
