domain,n_shared,pearson_gamma_real60_loss1m
arxiv,256,-0.4160637440060648
freelaw,256,-0.9240410090899678
pubmed_central,256,0.04319276836776039
wikipedia_en,256,-0.9297380133425467
dm_mathematics,256,0.9148262917765615
github,256,-0.8940292973504619
stackexchange,256,-0.8849095146726196
gutenberg_pg_19,256,-0.31356915861537216
pile_cc,256,-0.8223284726746528
ubuntu_irc,256,0.13803119516933565
hackernews,256,-0.6539340913521681
pubmed_abstracts,256,-0.9554504508493203
uspto_backgrounds,256,-0.855876642320286
