method,quality_domain,n,q_all22_mean,q_all22_sd,q_core16_mean
none,arxiv,18942,-0.034160453548951704,0.29413247410180393,0.025613718612141578
none,book,171,1.5232651755578492,1.0579570003247674,0.36483759597863724
none,c4,10000,0.18068522264556733,0.17174387370689528,0.15922919900403948
none,commoncrawl,9640,0.08288743911276773,0.18345947030231485,0.023198451969867313
none,github,213752,-0.011196208888733374,0.2202850342610589,-0.00559422794972288
none,stackexchange,10000,-0.06859552225375427,0.23080527162207826,-0.16427246501300574
none,wikipedia,10000,0.08598690915231684,0.23899511999212092,0.047501470894576354
iqr,arxiv,18942,-0.048460963304751865,0.1606173588517896,0.004164070661529211
iqr,book,171,0.2545987187822574,0.13165941328807151,0.39343368248369076
iqr,c4,10000,0.18386847014742275,0.17681249914624056,0.10560635252375257
iqr,commoncrawl,9640,0.12583803462733917,0.18964490271476195,0.02941046892202762
iqr,github,213752,-0.014971544604900838,0.23358931005541717,-0.0040696706508851
iqr,stackexchange,10000,-0.04034679328240822,0.2237676274567226,-0.15092706164631
iqr,wikipedia,10000,0.1426313365935928,0.21671929688602498,0.08934374256098412
z3,arxiv,18942,-0.04340264357678432,0.2744380152355825,0.024433266752666084
z3,book,171,0.3250902820506584,0.21645236646893445,0.3806497736766291
z3,c4,10000,0.19094301154023754,0.17477559717754854,0.1565100653223324
z3,commoncrawl,9640,0.09929519324465523,0.18936935206791122,0.02586299264411488
z3,github,213752,-0.012373168098654241,0.21903208900534676,-0.006858059661332941
z3,stackexchange,10000,-0.0565172941719327,0.2167055908452457,-0.15747657571669432
z3,wikipedia,10000,0.1109869027262798,0.2203444276517961,0.06983637734558812
mad,arxiv,18942,-0.0362728648988361,0.28487511741930904,0.02369359532719709
mad,book,171,0.2906551478643614,0.22811134897180543,0.36707693723376134
mad,c4,10000,0.1937347318880429,0.1704596302989709,0.1646652648524243
mad,commoncrawl,9640,0.09668645042284732,0.18743416445849365,0.024107751471389955
mad,github,213752,-0.01298662456507663,0.2178594281642911,-0.007381778666525373
mad,stackexchange,10000,-0.05766841699999761,0.21691649044203956,-0.15589953470150747
mad,wikipedia,10000,0.11205750197065076,0.2202627321784629,0.07462396888790333
