domain,Q_star_v4
arxiv,0.8231565425277378
freelaw,0.6378513429403834
nih_exporter,0.5160359394131266
pubmed_central,0.7096848671597985
wikipedia_en,0.44810464266257577
dm_mathematics,0.6371868206976127
github,0.45923998503930435
philpapers,0.7087287617514079
stackexchange,0.6278267868304931
enron_emails,0.5443560832930248
gutenberg_pg_19,0.5943009809750779
pile_cc,0.5547275357191337
ubuntu_irc,0.5435333859348987
europarl,0.5742837410449839
hackernews,0.5876221987192454
pubmed_abstracts,0.6243033436573618
uspto_backgrounds,0.6719924997565614
