protocol,weighting,resolution,scope,linkage_spearman,linkage_pearson,rank_vs_v1,conflict_rate
15,entropy,linear,conflict_only,-0.5428571428571429,-0.5811609100675116,0.942857142857143,0.0076712863556509855
15,entropy,huber,conflict_only,-0.5428571428571429,-0.5811492357657403,0.942857142857143,0.0076712863556509855
15,entropy,huber,global,-0.5428571428571429,-0.5811492357657403,0.942857142857143,0.0076712863556509855
15,entropy,pow0,conflict_only,-0.5428571428571429,-0.581458275376993,0.942857142857143,0.0076712863556509855
15,entropy,pow0,global,-0.5428571428571429,-0.577112624149482,0.942857142857143,0.0076712863556509855
15,entropy,pow-1,conflict_only,-0.5428571428571429,-0.5816767112848119,0.942857142857143,0.0076712863556509855
15,entropy,pow-1,global,-0.5428571428571429,-0.5672534967451919,0.942857142857143,0.0076712863556509855
15,entropy,pow-2,conflict_only,-0.5428571428571429,-0.5817611504014025,0.942857142857143,0.0076712863556509855
15,entropy,pow-2,global,-0.5428571428571429,-0.5563891881060143,0.942857142857143,0.0076712863556509855
15,critic,linear,conflict_only,-0.7142857142857143,-0.6560727336054812,0.8857142857142858,0.00759320710521179
15,critic,huber,conflict_only,-0.7142857142857143,-0.6560734309945834,0.8857142857142858,0.00759320710521179
15,critic,huber,global,-0.7142857142857143,-0.6560734309945834,0.8857142857142858,0.00759320710521179
15,critic,pow0,conflict_only,-0.7142857142857143,-0.6553060338987068,0.8857142857142858,0.00759320710521179
15,critic,pow0,global,-0.7142857142857143,-0.6377334498288881,0.8857142857142858,0.00759320710521179
15,critic,pow-1,conflict_only,-0.7142857142857143,-0.6546373325570716,0.8857142857142858,0.00759320710521179
15,critic,pow-1,global,-0.5428571428571429,-0.6084207288879443,0.942857142857143,0.00759320710521179
15,critic,pow-2,conflict_only,-0.7142857142857143,-0.6543171479062727,0.8857142857142858,0.00759320710521179
15,critic,pow-2,global,-0.5428571428571429,-0.5801498898922718,0.942857142857143,0.00759320710521179
15,combined,linear,conflict_only,-0.5428571428571429,-0.6188365784355983,0.942857142857143,0.007476088229552996
15,combined,huber,conflict_only,-0.5428571428571429,-0.61878875457457,0.942857142857143,0.007476088229552996
15,combined,huber,global,-0.5428571428571429,-0.61878875457457,0.942857142857143,0.007476088229552996
15,combined,pow0,conflict_only,-0.5428571428571429,-0.618584675933579,0.942857142857143,0.007476088229552996
15,combined,pow0,global,-0.5428571428571429,-0.6074368021934038,0.942857142857143,0.007476088229552996
15,combined,pow-1,conflict_only,-0.5428571428571429,-0.6184029022031123,0.942857142857143,0.007476088229552996
15,combined,pow-1,global,-0.5428571428571429,-0.588226660651234,0.942857142857143,0.007476088229552996
15,combined,pow-2,conflict_only,-0.5428571428571429,-0.61831826413746,0.942857142857143,0.007476088229552996
15,combined,pow-2,global,-0.5428571428571429,-0.5688141048553006,0.942857142857143,0.007476088229552996
18,entropy,linear,conflict_only,-0.8285714285714287,-0.6977935497153647,0.7714285714285715,0.008237360921335155
18,entropy,huber,conflict_only,-0.8285714285714287,-0.697691731655659,0.7714285714285715,0.008237360921335155
18,entropy,huber,global,-0.8285714285714287,-0.697691731655659,0.7714285714285715,0.008237360921335155
18,entropy,pow0,conflict_only,-0.8285714285714287,-0.6987498429054821,0.7714285714285715,0.008237360921335155
18,entropy,pow0,global,-0.8285714285714287,-0.7102485147840546,0.7714285714285715,0.008237360921335155
18,entropy,pow-1,conflict_only,-0.8285714285714287,-0.6995397861894194,0.7714285714285715,0.008237360921335155
18,entropy,pow-1,global,-0.8285714285714287,-0.7095705163744115,0.7714285714285715,0.008237360921335155
18,entropy,pow-2,conflict_only,-0.8285714285714287,-0.6999259630658139,0.7714285714285715,0.008237360921335155
18,entropy,pow-2,global,-0.8285714285714287,-0.7017290505533857,0.7714285714285715,0.008237360921335155
18,critic,linear,conflict_only,-0.8285714285714287,-0.7020522661851767,0.7714285714285715,0.010443099746242437
18,critic,huber,conflict_only,-0.8285714285714287,-0.7020522661851767,0.7714285714285715,0.010443099746242437
18,critic,huber,global,-0.8285714285714287,-0.7020522661851767,0.7714285714285715,0.010443099746242437
18,critic,pow0,conflict_only,-0.8285714285714287,-0.7022582312182845,0.7714285714285715,0.010443099746242437
18,critic,pow0,global,-0.8285714285714287,-0.7175337533492783,0.7714285714285715,0.010443099746242437
18,critic,pow-1,conflict_only,-0.8285714285714287,-0.7023499216756589,0.7714285714285715,0.010443099746242437
18,critic,pow-1,global,-0.8285714285714287,-0.7154063425841176,0.7714285714285715,0.010443099746242437
18,critic,pow-2,conflict_only,-0.8285714285714287,-0.7023825819154399,0.7714285714285715,0.010443099746242437
18,critic,pow-2,global,-0.8285714285714287,-0.7038732238921848,0.7714285714285715,0.010443099746242437
18,combined,linear,conflict_only,-0.8285714285714287,-0.7002300916423257,0.7714285714285715,0.00851063829787234
18,combined,huber,conflict_only,-0.8285714285714287,-0.7001788978189718,0.7714285714285715,0.00851063829787234
18,combined,huber,global,-0.8285714285714287,-0.7001788978189718,0.7714285714285715,0.00851063829787234
18,combined,pow0,conflict_only,-0.8285714285714287,-0.7003977647598201,0.7714285714285715,0.00851063829787234
18,combined,pow0,global,-0.8285714285714287,-0.7140653704245106,0.7714285714285715,0.00851063829787234
18,combined,pow-1,conflict_only,-0.8285714285714287,-0.7004865752053594,0.7714285714285715,0.00851063829787234
18,combined,pow-1,global,-0.8285714285714287,-0.7130402071701899,0.7714285714285715,0.00851063829787234
18,combined,pow-2,conflict_only,-0.8285714285714287,-0.700509981726712,0.7714285714285715,0.00851063829787234
18,combined,pow-2,global,-0.8285714285714287,-0.7036292233440856,0.7714285714285715,0.00851063829787234
