model,test_r2,test_rmse,test_mae,precision_at_10,recall_at_10
OLS,0.551132442498735,0.18604959836664908,0.1485697189801917,0.1,0.1
Ridge,0.5920742463965438,0.17736184196387542,0.14207228466449273,0.1,0.1
Lasso,0.6472734972629571,0.1649258284754298,0.13062235174897674,0.2,0.2
ElasticNet(best),0.6389182301482175,0.16686774974667196,0.13245082866514624,0.2,0.2
RandomForest,0.7945312673288801,0.1258758740703285,0.10025341773298196,0.5,0.5
ElasticNet(default),-0.05045209597713196,0.2846149798599803,0.22559881036263854,0.1,0.1
ENet(with_Qp|预处理=none),0.635522356351339,,,,
ENet(with_Qp|预处理=iqr),0.6350629707230822,,,,
ENet(with_Qp|预处理=z3),0.6326825635136617,,,,
ENet(with_Qp|预处理=mad),0.6330954496233769,,,,
