dataset,N_B,D_B,val_loss,C_FLOPs,L_optimal_sameC,efficiency_ratio
B4,1.3,405,2.5317,3.159e+21,2.336103934241048,1.0837274672980237
B4,65.0,11349,1.8828,4.42611e+24,1.9023338117284938,0.9897316592871022
B4,13.0,2229,2.0796,1.73862e+23,2.0391274798141246,1.0198479597703056
B4,33.0,4583,1.9757,9.07434e+23,1.960865154060037,1.0075654595162993
B4,20.0,3000,2.0858,3.6e+23,2.0021986705937835,1.0417547622191874
B4,72.0,33739,1.8505,1.4575248e+25,1.866799806136117,0.9912685837642901
B4,1.4,129,2.6238,1.0835999999999999e+21,2.451473342931838,1.0702951380503563
B4,12.0,300,2.1077,2.16e+22,2.1709413107652376,0.9708691752966156
B4,2.8,300,2.4276,5.039999999999999e+21,2.2913795256808753,1.0594491103688497
B4,0.16,13,3.725,1.248e+19,3.2011546348700883,1.1636426305132777
B4,2.7,1084,2.32,1.75608e+22,2.186477449655366,1.061067426222795
B4,7.0,1229,2.187,5.1618e+22,2.110714000281566,1.0361422720976208
B4,3.5,2200,2.3258,4.62e+22,2.1179403754694444,1.0981423400479267
B4,0.41,41,3.1611,1.0086e+20,2.786424345233157,1.1344646788662376
B4,6.9,300,2.3285,1.2420000000000001e+22,2.2135999873971106,1.0519064028085743
B4,0.5,361,2.8399,1.083e+21,2.4515381047727294,1.1584156062967963
B4,14.0,4790,2.0512,4.0236e+23,1.9969092128246746,1.0271874088349415
B4,4.2,350,2.3867,8.820000000000002e+21,2.2418581912532884,1.064607926278218
B4,7.0,4448,2.1464,1.86816e+23,2.0352950722475143,1.0545891007488146
B4,7.0,2221,2.2237,9.3282e+22,2.074163690760749,1.072094748310055
B4,2.0,1049,2.394,1.2588e+22,2.2125207558725015,1.082023747639797
B4,7.0,4109,2.0973,1.72578e+23,2.0395252021014936,1.0283275724364556
B4,0.07,6,4.3629,2.5200000000000005e+18,3.621880971831145,1.2045950802723955
B4,1.5,680,2.5398,6.12e+21,2.273714353849905,1.1170268577051259
B4,1.0,111,2.7965,6.66e+20,2.510566124679512,1.1138921904942811
B4,18.0,2800,2.0743,3.024e+23,2.0106728138800993,1.0316447239355249
B4,0.12,40,3.0,2.88e+19,3.019078413404721,0.9936807161682145
B4,0.35,40,2.85,8.399999999999998e+19,2.8176528800090357,1.0114801650055847
B4,0.77,40,2.75,1.848e+20,2.689082009928182,1.0226538238130733
B4,1.5,40,2.7,3.6e+20,2.5918534221110248,1.0417255763641493
B4,0.13,300,3.11,2.34e+20,2.6535212484463884,1.172027547102129
B4,0.35,300,2.88,6.299999999999999e+20,2.517597522432466,1.143947741582374
B4,1.3,300,2.65,2.3400000000000005e+21,2.366574541562513,1.1197618978231538
B4,2.7,300,2.5,4.860000000000001e+21,2.294747361122864,1.0894445472972247
B4,6.7,300,2.33,1.206e+22,2.2159704264635214,1.051458075511621
B4,13.0,300,2.22,2.34e+22,2.165065615058572,1.025373080870781
B4,30.0,300,2.1,5.4e+22,2.107809118414959,0.9962951491447994
B4,0.56,350,2.75,1.1760000000000003e+21,2.4419654120082894,1.126142076573632
B4,1.7,350,2.55,3.57e+21,2.3240824506732225,1.0972072007433882
B4,3.0,350,2.45,6.3e+21,2.2711218199999483,1.0787620366396973
B4,7.1,350,2.3,1.4909999999999998e+22,2.199111779632838,1.0458768041268034
B4,7.0,1500,2.25,6.3e+22,2.098033741220981,1.0724327048670723
B4,40.0,1500,2.05,3.6e+23,2.0021986705937835,1.0238744187119253
B4,7.0,8000,2.1,3.36e+23,2.0055248575466873,1.0471074402781932
B4,6.0,3000,2.1,1.08e+23,2.06561600630001,1.016645878805703
B4,34.0,3000,1.9,6.12e+23,1.977760803839441,0.9606824021952081
B4,70.0,15000,1.71,6.3e+24,1.8911225030306,0.9042248702871739
B4,32.0,18000,1.95,3.456e+24,1.9105609753716615,1.0206426411597078
B4,72.0,18000,1.85,7.776e+24,1.8847212566020486,0.9815775110083668
B4,9.0,8000,2.1,4.32e+23,1.9935765243961,1.0533831906132314
B4,0.11,2050,2.95,1.353e+21,2.4259498309230674,1.2160185517428994
B4,0.26,2050,2.7,3.198e+21,2.334887733136447,1.1563725149102133
B4,0.59,2050,2.5,7.257e+21,2.258638147449144,1.1068616736255186
B4,1.3,2050,2.35,1.5990000000000003e+22,2.193673555690264,1.0712624008728346
B4,2.7,2050,2.22,3.3210000000000006e+22,2.140196571404198,1.0372878966642969
B4,6.7,2050,2.08,8.241e+22,2.081545335603264,0.9992576017553727
B4,13.0,2050,2.0,1.599e+23,2.043645535236258,0.9786432947966133
