dataset,N_B,D_B,val_loss,C_FLOPs,L_optimal_sameC,efficiency_ratio
B5,1.5,10,2.906,9e+19,2.805770924586574,1.035722472756109
B5,0.125,300,2.761,2.25e+20,2.659340995399091,1.0382271415274644
B5,0.35,300,2.632,6.299999999999999e+20,2.517597522432466,1.0454411305016698
B5,0.77,300,2.506,1.386e+21,2.4232317297328034,1.0341561515771018
B5,1.3,300,2.415,2.3400000000000005e+21,2.366574541562513,1.0204622578275158
B5,2.6,300,2.318,4.680000000000001e+21,2.298262250763044,1.0085881187973231
B5,6.7,300,2.199,1.206e+22,2.2159704264635214,0.9923417631116113
B5,13.0,300,2.12,2.34e+22,2.165065615058572,0.97918510425498
B5,175.0,300,2.011,3.15e+23,2.008668348932425,1.00116079444813
B5,0.5,5,3.015,1.5e+19,3.1590805757338534,0.9543916110147386
B5,1.0,20,2.628,1.2e+20,2.7575605514824586,0.9530162442261487
B5,1.4,20,2.517,1.6799999999999997e+20,2.703809793095888,0.9309086779798998
B5,4.0,80,2.227,1.92e+21,2.3874418952047436,0.9327975706855959
B5,7.0,140,2.106,5.88e+21,2.2773112767969654,0.9247747646347606
B5,13.0,260,1.989,2.028e+22,2.175621330506188,0.9142215936710054
B5,20.0,400,1.917,4.8e+22,2.115435721398664,0.9061962888347824
B5,40.0,800,1.818,1.92e+23,2.0338464514855046,0.8938727890063421
B5,70.0,1400,1.71,5.88e+23,1.979534655191678,0.8638393854410298
B5,0.2,300,2.819,3.6000000000000007e+20,2.5918534221110248,1.0876386665816804
B5,0.5,300,2.679,9e+20,2.473492195829224,1.083084072194487
B5,1.4,300,2.484,2.5199999999999995e+21,2.3589190933845017,1.0530246700559942
B5,2.8,300,2.381,5.039999999999999e+21,2.2913795256808753,1.0391120167194887
B5,7.6,300,2.312,1.3679999999999998e+22,2.205887821194715,1.0481040684778857
B5,40.0,300,2.169,7.2e+22,2.0897508979012147,1.037922750591172
B5,280.0,300,2.057,5.04e+23,1.986472524774546,1.0355038765177276
B5,7.0,1000,1.943,4.2e+22,2.1242504851954327,0.9146755589989862
B5,13.0,1000,1.835,7.8e+22,2.0848666941601355,0.8801521963682233
B5,33.0,1000,1.778,1.98e+23,2.0322251126048587,0.8749030749457678
B5,65.0,1400,1.685,5.46e+23,1.9828495497125913,0.8497871158425693
B5,7.0,2000,1.849,8.4e+22,2.080397819839044,0.8887723215087071
B5,13.0,2000,1.75,1.56e+23,2.0449893368754832,0.855750183359785
B5,70.0,2000,1.617,8.4e+23,1.9640974122478285,0.8232789218684475
B5,8.0,780,1.901,3.744e+22,2.131983355485745,0.8916579930648106
B5,62.0,780,1.653,2.9016e+23,2.0127144726191846,0.8212789357294773
B5,540.0,780,1.473,2.5272e+24,1.9214270959417101,0.766617689066193
B5,1.3,180,2.723,1.4040000000000003e+21,2.4217804087531514,1.1243793987919535
B5,6.7,180,2.417,7.236e+21,2.2588912558369523,1.0699939599812502
B5,30.0,180,2.256,3.24e+22,2.1419070430565923,1.0532669974232831
B5,66.0,180,2.179,7.128e+22,2.0903684207238156,1.0423999800214616
B5,175.0,180,2.042,1.89e+23,2.0346791897548715,1.0035980169660115
B5,0.56,366,2.628,1.2297600000000003e+21,2.4368218625580904,1.0784538830594772
B5,1.7,366,2.456,3.7332e+21,2.319745020285002,1.0587370502031546
B5,7.1,366,2.267,1.5591599999999998e+22,2.1956289361923242,1.0325059770488578
B5,176.0,366,1.846,3.86496e+23,1.9988114708579336,0.9235488323506851
