C_FLOPs,N_star,D_star,L_star
1e+17,3822102.876439923,4360601272.509636,4.860464337768588
1.1787686347935915e+17,4116744.8817470907,4772251980.037434,4.781415505891319
1.389495494373136e+17,4434100.538177176,5222763453.41336,4.704337463839942
1.637893706954068e+17,4775920.817886396,5715804237.582693,4.629181077269946
1.9306977288832458e+17,5144091.673685269,6255389196.502137,4.555898436819725
2.275845926074791e+17,5540644.444559475,6845912206.444722,4.484442827570136
2.6826957952797165e+17,5967767.063341397,7492181935.626844,4.41476869926552
3.1622776601683795e+17,6427816.128369908,8199461001.514191,4.346831637277117
3.727593720314953e+17,6923329.905741783,8973508824.666187,4.280588334290432
4.393970560760786e+17,7457042.333893582,9820628528.081455,4.215996562698445
5.179474679231223e+17,8031898.107782478,10747718263.948488,4.153015147683097
6.105402296585315e+17,8651068.925890869,11762327385.758274,4.091603940967918
7.196856730011529e+17,9317970.989696441,12872717923.19311,4.031723795224993
8.483428982440691e+17,10036283.852157975,14087931860.384438,3.973336539120034
1e+18,10809970.719212204,15417864765.392519,3.91640495297958
1.1787686347935916e+18,11643300.316291796,16873346370.476088,3.8608927450648705
1.3894954943731361e+18,12540870.440511221,18466228759.32385,3.806764528437229
1.637893706954068e+18,13507633.328466594,20209482879.36196,3.7539857984002114
1.9306977288832456e+18,14548922.979612818,22117304165.04258,3.7025229105041877
2.275845926074791e+18,15670484.58597269,24205228132.21314,3.652343059099246
2.6826957952797164e+18,16878506.23055135,26490256884.85629,3.6034142564228566
3.1622776601683794e+18,18179653.029350065,28990997564.356274,3.555705312208853
3.727593720314953e+18,19581103.90535199,31727813868.690277,3.5091858138048364
4.393970560760786e+18,21090591.1973776,34722991875.37815,3.463826106785245
5.179474679231223e+18,22716443.32234635,38000921518.49707,3.4195972760477726
6.105402296585314e+18,24467630.726327673,41588295197.53879,3.3764711273810963
7.196856730011528e+18,26353815.37791282,45514325135.39847,3.3344201694921125
8.483428982440691e+18,28385404.076978736,49810981255.45071,3.293417596481291
1e+19,30573605.872971576,54513251514.76732,3.2534372707549104
1.1787686347935818e+19,32930493.909505412,59659426813.38129,3.2144537063633414
1.389495494373136e+19,35469072.03649964,65291412799.63889,3.1764420527547026
1.637893706954068e+19,38203346.557376176,71455071110.68471,3.1393780789335826
1.9306977288832455e+19,41148403.50717603,78200592826.82918,3.1032381580146877
2.275845926074791e+19,44320491.88796699,85582907180.86107,3.0679992521615906
2.6826957952797164e+19,47737113.32078236,93662128850.44742,3.033638897900991
3.162277660168379e+19,51417118.608738355,102504047475.96227,3.000135191803082
3.727593720314923e+19,55380811.7441009,112180663389.90843,2.9674667765189557
4.393970560760786e+19,59650061.93315375,122770773920.42625,2.9356128271660866
5.179474679231223e+19,64248424.25694646,134360615043.18332,2.9045530380532623
6.105402296585314e+19,69201269.63365799,147044563606.67163,2.87426760973647
7.196856730011528e+19,74535924.7996264,160925905849.17523,2.84473723639749
8.483428982440691e+19,80281823.0813704,176117678465.48593,2.8159430935371788
1e+20,86470666.79047613,192743589072.2463,2.7878668259755464
1.1787686347935818e+20,93136602.13733514,210939023567.30838,2.7604905361510346
1.389495494373136e+20,100316407.62880868,230852148586.1274,2.733796772711483
1.637893706954068e+20,108049696.9892705,252645118032.5404,2.707768519389563
1.9306977288832457e+20,116379137.72462876,276495393508.81177,2.682389184155544
2.275845926074791e+20,125350686.53522566,302597189397.2887,2.6576425886404933
2.6826957952797164e+20,135013842.87647218,331163054361.04895,2.633512957823191
3.1622776601683794e+20,145421922.0662202,362425602141.8359,2.6099849099741337
3.727593720314923e+20,156632349.44569498,396639405749.2461,2.5870434468502745
4.393970560760786e+20,168706977.2170016,434083070465.72064,2.5646739441341997
5.1794746792312236e+20,181712425.70530292,475061502547.9122,2.5428621421116837
6.105402296585315e+20,195720450.92855567,519908392098.65247,2.5215941365816574
7.196856730011528e+20,210808340.5028223,568988930327.7018,2.500856369992803
8.483428982440691e+20,227059340.067512,622702783328.0863,2.480635622801128
1e+21,244563112.58331838,681487346583.7422,2.4609190050430034
1.1787686347935819e+21,263416233.0369536,745821306710.0647,2.441693948118302
1.3894954943731361e+21,283722721.2821786,816228539430.9343,2.4229481967783815
1.637893706954068e+21,305594615.95698994,893282375533.6213,2.404669801313835
1.9306977288832457e+21,329152592.64350563,977610269539.5956,2.386847109936998
2.275845926074791e+21,354526629.6811661,1069898909108.5162,2.369468761354371
2.682695795279716e+21,381856725.306782,1170899806781.5664,2.3525236775242266
3.1622776601683794e+21,411293670.0781943,1281435419598.1887,2.336001056594774
3.7275937203149225e+21,442999878.84326386,1402405846418.5151,2.31989036601839
4.393970560760786e+21,477150286.8445234,1534796157488.4043,2.3041813358375087
5.179474679231223e+21,513933314.9035982,1679684415932.0461,2.28886395213792
6.105402296585314e+21,553551909.0107231,1838250456491.8298,2.273928450665273
7.196856730011528e+21,596224660.0551555,2011785493001.2908,2.259365310600729
8.483428982440691e+21,642187009.8744401,2201702632825.3315,2.245165248491806
1e+22,691692550.2768118,2409548383887.7188,2.2313192123345202
1.1787686347935817e+22,745014422.203872,2637015247988.075,2.217818375803082
1.389495494373136e+22,802446822.7533236,2885955502956.89,2.204654132623438
1.637893706954068e+22,864306628.3765122,3158396285877.229,2.191818091087106
1.9306977288832458e+22,930935143.2066313,3456556100197.1006,2.1793020687017686
2.275845926074791e+22,1002699982.1637667,3782862881150.9023,2.1670980869752463
2.6826957952797165e+22,1079997099.2265503,4139973766597.696,2.155198366329511
3.1622776601683792e+22,1163252972.0612528,4530796734271.9795,2.143595321141497
3.7275937203149225e+22,1252926955.061647,4958514281639.98,2.1322815549075522
4.393970560760786e+22,1349513813.7823687,5426609341188.74,2.1212498555284465
5.179474679231223e+22,1453546454.749093,5938893642177.273,2.1104931907119298
6.105402296585314e+22,1565598865.7070334,6499538749801.958,2.100004703489913
7.196856730011528e+22,1686289282.5301967,7113110034529.968,2.0897777078474076
8.48342898244069e+22,1816283600.2643769,7784603848214.975,2.0798056844604433
1.0000000000000001e+23,1956299047.1240602,8519488209723.458,2.0700822765402456
1.1787686347935819e+23,2107108141.7138932,9323747331376.385,2.0606012857810225
1.3894954943731361e+23,2269542955.308424,10203930348789.16,2.051356668408779
1.637893706954068e+23,2444499702.706518,11167204650919.05,2.042342531328638
1.9306977288832458e+23,2632943686.9901276,12221414244591.129,2.033553128368215
2.2758459260747912e+23,2835914625.469473,13375143628768.65,2.024982856614651
2.6826957952797163e+23,3054532386.199791,14637787698699.742,2.0166262528429644
3.162277660168379e+23,3290003166.7204566,16019628249175.838,2.0084779900334535
3.727593720314923e+23,3543626149.1066117,17531917699871.223,2.0005328739759225
4.393970560760786e+23,3816800668.0521107,19186970724546.777,1.9927858399585658
5.179474679231223e+23,4111033931.532475,20998264530258.387,1.985231949539408
6.105402296585314e+23,4427949336.645986,22980548603152.188,1.9778663873982325
7.196856730011528e+23,4769295426.514484,25149964814513.367,1.9706844582669958
8.483428982440691e+23,5136955537.662344,27524178865098.812,1.9636815839367718
1e+24,5532958191.10227,30122524138116.344,1.9568533003393165
1.1787686347935818e+24,5959488284.459015,32966159132251.375,1.9501952547013928
1.389495494373136e+24,6418899146.882768,36078239756732.57,1.9437032027700407
1.637893706954068e+24,6913725523.263201,39484107891442.6,1.9373730061070287
1.9306977288832457e+24,7446697559.383517,43211497747534.875,1.9312006294507527
2.2758459260747912e+24,8020755865.175755,47290761708963.57,1.9251821381439094
2.682695795279716e+24,8639067739.186775,51755117493967.15,1.9193136956253036
3.1622776601683796e+24,9305044643.772182,56640918649162.984,1.91359156098418
3.727593720314923e+24,10022361027.434599,61987950578897.79,1.9080120865755394
4.393970560760786e+24,10794974598.157291,67839754520448.17,1.9025717156948976
5.179474679231224e+24,11627148159.58785,74243982103215.1,1.897266980311024
6.105402296585314e+24,12523473130.551294,81252783379117.72,1.8920944988552013
7.196856730011529e+24,13488894877.658487,88923231483942.22,1.887050974065601
8.483428982440691e+24,14528740000.778927,97317787387686.64,1.8821331908854075
1e+25,15648745721.923527,106504808518404.48,1.8773380144133367
1.1787686347935819e+25,16855091539.68549,116559105401292.61,1.8726623879052577
1.389495494373136e+25,18154433323.89056,127562550845786.31,1.8681033308256307
1.637893706954068e+25,19553940038.568188,139604746641298.1,1.8636579369475315
1.9306977288832456e+25,21061333295.85957,152783753190560.5,1.859323372500038
2.2758459260747726e+25,22684929959.09603,167206888022020.78,1.8550968743618104
2.682695795279738e+25,24433688030.105026,182991599683625.2,1.850975748299705
3.1622776601683795e+25,26317256073.921036,200266424134164.97,1.8469573672513022
