protocol,variant,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
A_ref_protocol_810,classical_1s,0.12620821468662152,0.0033729760429643194,0.8642014729687235,0.005803666698166732
A_ref_protocol_810,additive_1s,0.05960987608715003,0.0013870515476675524,0.9697024037090911,0.0012672695750553164
A_ref_protocol_810,intN_1s,0.051127292572458446,0.0010341424757912686,0.9777132939173359,0.0008109585958354012
A_ref_protocol_810,multiplicative_1s,0.05187031604068446,0.0009030067023702901,0.9770570748949613,0.0008703277244142831
A_ref_protocol_810,M2_anchored,0.07423794086254268,0.0011940485714728975,0.9530246977200189,0.0010080386061177714
A_ref_protocol_810,intN,0.05112728792297963,0.0010341447363407846,0.9777132980132806,0.0008109585038530539
A_ref_protocol_810,intD,0.05928075563389868,0.0012681735760790272,0.9700369100664257,0.001169911924788011
A_ref_protocol_810,intND_add,0.05078776584779774,0.0009954725451018095,0.9780077764615132,0.0007988871930189088
A_ref_protocol_810,intND_mul,0.05087358268243711,0.0010011761416244944,0.9779322805039321,0.0008339948334104411
A_ref_protocol_810,twoQ,0.0509590412008833,0.0010547166884389207,0.977860038337577,0.0008025971116594727
A_ref_protocol_810,ens3,0.05073084650143329,0.0010211702100746027,0.9780573062322486,0.0008009969846336705
A2_ref_protocol_dedup450,intN_1s,0.051849344139752306,0.0015814508416517432,0.9767994466147569,0.0011724286489496732
A2_ref_protocol_dedup450,M2_anchored,0.07422984844628064,0.0031587151304252347,0.9524373783382608,0.003346876808611917
A2_ref_protocol_dedup450,intN,0.05184931728701169,0.0015814563252496904,0.9767994701938766,0.0011724399184084742
A2_ref_protocol_dedup450,intND_add,0.051787809069239486,0.0016611881320690355,0.976852570269092,0.0012493908918678332
A2_ref_protocol_dedup450,twoQ,0.05280822255718572,0.00210696242738486,0.9759284402648589,0.0015841847731527259
A2_ref_protocol_dedup450,ens3,0.051806422629568034,0.001655567582159407,0.9768369630213611,0.0012268676265265045
A3_standard_dedup450,intN_1s,0.049789026234251785,0.0035122948178570187,0.9780135862549769,0.004122165887588521
A3_standard_dedup450,M2_anchored,0.07244968348968953,0.005778274969764184,0.9538231131496737,0.006874838358262613
A3_standard_dedup450,intN,0.049789025922785175,0.0035122948351207868,0.9780135866162916,0.004122165404907094
A3_standard_dedup450,intND_add,0.04955771623857594,0.003474340145622382,0.9782295946720584,0.003951733357936216
A3_standard_dedup450,twoQ,0.0495411094411944,0.0033283231345175254,0.9782617274544256,0.0038097009089757728
A3_standard_dedup450,ens3,0.049478936461701116,0.0034292890294921807,0.9782967315062439,0.0039639056769762565
B_ref_protocol_b8,intD_1s,0.08910442580558099,0.0015379449863886171,0.9836613794943753,0.0005346390040471915
B_ref_protocol_b8,intD,0.08910446187565255,0.001537944950369404,0.9836613661145157,0.0005346436822720332
B_ref_protocol_b8,intND_add,0.08402811540426926,0.0015491617209318453,0.9854704454820773,0.0004823249326474267
B_ref_protocol_b8,twoQ,0.07884995199782838,0.0012495254952983774,0.9872068948975173,0.00035546000220342195
B_ref_protocol_b8,ens3,0.08470551547041147,0.0014035521480904847,0.9852357723633033,0.0004383170018421266
