param,s_type,C_FLOPs,L_base,S,abs_S
E,relative,1e+19,3.0011767830124505,0.5630449937098412,0.5630449937098412
E,relative,1e+22,2.077367575396264,0.8134321450507505,0.8134321450507505
E,relative,1e+24,1.868389039394732,0.9044141917369212,0.9044141917369212
A,relative,1e+19,3.0011767830124505,0.18693330543808762,0.18693330543808762
A,relative,1e+22,2.077367575396264,0.1154389735169361,0.1154389735169361
A,relative,1e+24,1.868389039394732,0.06713777275198272,0.06713777275198272
alpha,relative,1e+19,3.0011767830124505,0.08614168895231078,0.08614168895231078
alpha,relative,1e+22,2.077367575396264,-0.04481170949119175,0.04481170949119175
alpha,relative,1e+24,1.868389039394732,-0.06977757541041964,0.06977757541041964
B,relative,1e+19,3.0011767830124505,0.3003209800174264,0.3003209800174264
B,relative,1e+22,2.077367575396264,0.11217918836776011,0.11217918836776011
B,relative,1e+24,1.868389039394732,0.0579416840795569,0.0579416840795569
beta,relative,1e+19,3.0011767830124505,-0.09582891505116432,0.09582891505116432
beta,relative,1e+22,2.077367575396264,-0.18843165223110178,0.18843165223110178
beta,relative,1e+24,1.868389039394732,-0.1425036608112982,0.1425036608112982
theta_Q,relative,1e+19,3.0011767830124505,2.959433861835391e-15,2.959433861835391e-15
theta_Q,relative,1e+22,2.077367575396264,-8.550999160855801e-15,8.550999160855801e-15
theta_Q,relative,1e+24,1.868389039394732,-2.934228996213239e-12,2.934228996213239e-12
gamma,relative,1e+19,3.0011767830124505,8.138443120047325e-15,8.138443120047325e-15
gamma,relative,1e+22,2.077367575396264,-2.4584122587460428e-14,2.4584122587460428e-14
gamma,relative,1e+24,1.868389039394732,-1.2775602150381661e-12,1.2775602150381661e-12
delta,absolute(ΔL per unit param),1e+19,3.0011767830124505,3.8314194505987245,3.8314194505987245
delta,absolute(ΔL per unit param),1e+22,2.077367575396264,3.3106678016751725,3.3106678016751725
delta,absolute(ΔL per unit param),1e+24,1.868389039394732,2.805090205847496,2.805090205847496
Q0,absolute(ΔL per unit param),1e+19,3.0011767830124505,-0.529961369703047,0.529961369703047
Q0,absolute(ΔL per unit param),1e+22,2.077367575396264,-0.017266761115974916,0.017266761115974916
Q0,absolute(ΔL per unit param),1e+24,1.868389039394732,-0.0012429013123882449,0.0012429013123882449
L_ctx,relative,1e+19,3.0011767830124505,0.011171227538915135,0.011171227538915135
L_ctx,relative,1e+22,2.077367575396264,0.006406920931045011,0.006406920931045011
L_ctx,relative,1e+24,1.868389039394732,0.00344966303153006,0.00344966303153006
theta_Q(g=exp内点机制),relative,1e+19,3.0547716900512025,0.04447188279136177,0.04447188279136177
gamma(g=exp内点机制),relative,1e+19,3.0547716900512025,0.005264610322065753,0.005264610322065753
