C_FLOPs,g_type,Lctx,regime_Q,budget_use,feasible,m_N_per_FLOP,m_D_per_FLOP,m_Q_per_FLOP,rel_dev_active,boundary_dir_ok,n_feas_pert,n_improve_pert,improve_rate,max_improve_rel
1e+19,exp,2048.0,interior,1.0,True,2.1267395141225926e-20,2.1267397949456827e-20,2.1267393624912028e-20,2.0334153208814727e-07,True,200,0,0.0,0.0
1e+19,exp,4096.0,interior,1.0,True,2.1504574529905526e-20,2.150459358339302e-20,2.1504604818673472e-20,1.4084791465318953e-06,True,200,0,0.0,0.0
1e+19,exp,8192.0,interior,1.0,True,2.1937631515323943e-20,2.1937630644732554e-20,2.1937631883607793e-20,5.6472607280777336e-08,True,200,0,0.0,0.0
1e+19,exp,32768.0,interior,1.0,True,2.3834791262929693e-20,2.3834805536175472e-20,2.38348211639569e-20,1.2545110382160424e-06,True,200,0,0.0,0.0
1e+19,exp,131072.0,interior,1.0,True,2.7577399444544986e-20,2.75774750466964e-20,2.757755557628144e-20,5.661567162793407e-06,True,200,0,0.0,0.0
1e+19,pow,2048.0,floor,1.0,True,1.893494357982888e-20,1.8934943743076075e-20,1.5597591346077738e-20,8.621477652325115e-09,True,200,0,0.0,0.0
1e+19,pow,4096.0,floor,1.0,True,1.911718985953339e-20,1.9117188841600838e-20,1.6185498557755065e-20,5.3246977464860565e-08,True,200,0,0.0,0.0
1e+19,pow,8192.0,floor,1.0,True,1.9455552551798502e-20,1.945555131380473e-20,1.7319865621760726e-20,6.363190188655787e-08,True,200,0,0.0,0.0
1e+19,pow,32768.0,interior,1.0,True,2.1792170996666894e-20,2.1792166562118703e-20,2.179216907905653e-20,2.034927416111848e-07,True,200,0,0.0,0.0
1e+19,pow,131072.0,interior,1.0,True,2.7089272699684613e-20,2.708926788719486e-20,2.7089265885770795e-20,2.515355383861722e-07,True,200,0,0.0,0.0
1e+19,log,2048.0,ceiling,1.0,True,2.4914620453357944e-20,2.491457029245304e-20,7.021705971189496e-20,1.1321258909807261,True,200,0,0.0,0.0
1e+19,log,4096.0,ceiling,1.0,True,2.50177500238096e-20,2.5017717840694142e-20,7.130466759997024e-20,1.1443933925595793,True,200,0,0.0,0.0
1e+19,log,8192.0,ceiling,0.9999999999999998,True,2.521151035710212e-20,2.521149851775909e-20,7.338116856822564e-20,1.1672385628330746,True,200,0,0.0,0.0
1e+19,log,32768.0,ceiling,1.0,True,2.613904743601617e-20,2.613903957613329e-20,8.393825987075473e-20,1.2729577972966957,True,200,0,0.0,0.0
1e+19,log,131072.0,ceiling,1.0,True,2.830117938813525e-20,2.8301178833942506e-20,1.1281484758649758e-19,1.4965481519282136,True,200,0,0.0,0.0
1e+20,exp,2048.0,interior,1.0000000000000002,True,1.6800584487875787e-21,1.680056697937839e-21,1.6800549449723913e-21,2.085533894926223e-06,True,200,0,0.0,0.0
1e+20,exp,4096.0,interior,0.9999999999999997,True,1.6934526680774656e-21,1.6934519492893038e-21,1.6934515699197525e-21,6.484728664212237e-07,True,200,0,0.0,0.0
1e+20,exp,8192.0,interior,1.0000000000000002,True,1.718262081578948e-21,1.718261900300182e-21,1.7182631306826155e-21,7.160620253766093e-07,True,200,0,0.0,0.0
1e+20,exp,32768.0,interior,0.9999999999999999,True,1.8313911660150466e-21,1.8313910433285056e-21,1.83139047588883e-21,3.768317393528891e-07,True,200,0,0.0,0.0
