target,sigma_1m,sigma_60m,sigma_1B,delta_N_scaling,theta_Qp_slope_1m,theta_Qp_r2_1m,theta_Qp_slope_60m,theta_Qp_r2_60m,theta_Qp_slope_1B,theta_Qp_r2_1B
arxiv,0.781106174013985,0.5710185799336533,0.1057463989626854,-0.2740537507532987,5.031523468732115,0.18649207175061425,3.8623980482143128,0.20563407782256374,1.1408143527261745,0.14551908978751632
freelaw,0.7384430929510104,0.6454317344830208,0.13964252771815375,-0.22601575780390407,-1.1281868320106714,0.010490821479175037,-0.9223995655591567,0.009179500691918174,-1.1287889444814003,0.08169797313491772
pubmed_central,0.8378165185877576,0.5699071916229415,0.05281652912571711,-0.3779577333830141,0.15235362306628164,0.00014862410237956425,0.3225381432222909,0.0014395786514014694,0.40050709112153876,0.0718955308469082
wikipedia_en,0.5474419616862163,0.5016808676652621,0.15946991087528048,-0.1671626878016096,-1.0158002777456765,0.015474691411001478,-0.8774136849354225,0.013747864372702014,-0.20124216940343734,0.0019911394110924737
dm_mathematics,1.5363975625784234,0.769755359988354,0.2996204758183119,-0.23172917209666904,-0.9388408597954486,0.0016782561805597487,-0.14744608971928938,0.0001649083266815501,-0.6522633757010305,0.005925489045032837
github,0.923088162832395,0.6875116820720462,0.12098013459269247,-0.2780786521462348,1.641900836090673,0.014219652838933294,1.8126631666682071,0.031243204046624257,0.3049810068423276,0.007945818704455874
stackexchange,0.665346278903753,0.5573997001435881,0.13021530659066705,-0.22215488454765608,4.407367990183711,0.1972171465455573,3.6775869455543573,0.19564733925381378,1.5891786665634584,0.18622696601495006
gutenberg_pg_19,0.4495306558869061,0.3856366050840111,0.2439010858311224,-0.0848154418651675,-2.0524103335421024,0.09368957450244449,-1.5838013224378897,0.07580998485902814,-1.4627925896941207,0.04497376294474788
pile_cc,0.3211237057370697,0.31444202614825206,0.10156139795242165,-0.15494746049634522,-1.960012663137801,0.167438193582193,-1.8976623221969475,0.16369605258164216,-1.8908216212430713,0.4333761129566626
ubuntu_irc,0.9993700524683925,0.7039911357506035,0.42615943463805617,-0.12064543958329048,1.5009346352551056,0.010138002779676072,1.2865927778695418,0.015011681659223031,-0.9516550834539207,0.006234995137740291
hackernews,0.3369510819022689,0.30863659993091114,0.19843831405806248,-0.07264757214862003,-0.7200020989042449,0.020521794002084353,-0.554815159946517,0.014523901539281266,-0.6930583733176612,0.01525140182148247
pubmed_abstracts,0.5714260427913763,0.5480847747242109,0.1139839263394321,-0.21720386833452293,-0.3580524794290253,0.00176463472506997,-0.17337184252396318,0.0004497209949175657,0.8694046826603958,0.0727407735476623
uspto_backgrounds,0.5110838070469053,0.43310777081622603,0.14157128995955687,-0.17530533918333144,-0.9305436013274009,0.014899466607194543,-0.6552954155993775,0.010288778478499933,0.08025289414393857,0.0004017836119962223
mean_loss,0.27823997177568216,0.21930850483550943,0.05235087399773796,-0.2285239529866762,0.27924856980273205,0.004527144774173445,0.3191979752777036,0.009521180904987776,-0.19965257409513887,0.01818541202439452
