variant,target,best_alpha,best_l1_ratio,cv_rmse,cv_r2,n_features_nonzero,n_features_total,n_convergence_warnings,intercept
base,metric/the_pile_arxiv_val_loss,0.02395026619987486,1.0,0.6168240591305368,0.6306431592999566,64,170,0,5.04406272014603
base,metric/the_pile_freelaw_val_loss,0.04175318936560404,0.3,0.38467572962636787,0.7595171697703689,78,170,0,5.28257419122383
base,metric/the_pile_pubmed_central_val_loss,0.04175318936560404,0.7,0.5011166133809477,0.6549291242126384,43,170,0,5.1759300655685365
base,metric/the_pile_wikipedia_en_val_loss,0.007880462815669913,0.9,0.225586273887657,0.8184202249924067,83,170,0,5.810897937975824
base,metric/the_pile_dm_mathematics_val_loss,0.04175318936560404,1.0,1.0885325799765189,0.49701117496162006,38,170,0,3.8935756706632674
base,metric/the_pile_github_val_loss,0.04175318936560404,0.7,0.5651595767807162,0.7139811213832501,57,170,0,5.27951684454456
base,metric/the_pile_stackexchange_val_loss,0.02395026619987486,0.9,0.4088680521155459,0.7226190141468702,56,170,0,5.245853285305202
base,metric/the_pile_gutenberg_pg_19_val_loss,0.004520353656360245,1.0,0.20186343040967722,0.7851650773477932,89,170,0,5.445764048025012
base,metric/the_pile_pile_cc_val_loss,0.002592943797404667,0.7,0.11931212354464259,0.8616223904338491,110,170,0,5.727793703787029
base,metric/the_pile_ubuntu_irc_val_loss,0.02395026619987486,1.0,0.5793589620678822,0.6827756550081103,51,170,0,6.55348688736558
base,metric/the_pile_hackernews_val_loss,0.002592943797404667,0.9,0.15688603268763887,0.790395487670073,114,170,0,5.403714658692479
base,metric/the_pile_pubmed_abstracts_val_loss,0.007880462815669913,0.7,0.23723036030683303,0.835671371863553,81,170,0,5.439561689272523
base,metric/the_pile_uspto_backgrounds_val_loss,0.007880462815669913,1.0,0.20407284769064366,0.8525053937654946,61,170,0,5.177806387655437
base,mean_loss,0.004520353656360245,1.0,0.2112593258547073,0.5769229956130493,85,170,0,5.344656776171178
with_Qp,metric/the_pile_arxiv_val_loss,0.02395026619987486,1.0,0.6063980028557577,0.6430239649714277,66,171,0,5.04406272014603
with_Qp,metric/the_pile_freelaw_val_loss,0.04175318936560404,0.3,0.3822045868708353,0.7625969514261652,75,171,0,5.28257419122383
with_Qp,metric/the_pile_pubmed_central_val_loss,0.04175318936560404,0.7,0.5011166133809477,0.6549291242126384,43,171,0,5.1759300655685365
with_Qp,metric/the_pile_wikipedia_en_val_loss,0.007880462815669913,0.9,0.225586273887657,0.8184202249924067,83,171,0,5.810897937975824
with_Qp,metric/the_pile_dm_mathematics_val_loss,0.04175318936560404,1.0,1.0885325809239015,0.4970111740860875,38,171,0,3.8935756706632674
with_Qp,metric/the_pile_github_val_loss,0.04175318936560404,0.7,0.5637401121681022,0.7154160570828607,58,171,0,5.27951684454456
with_Qp,metric/the_pile_stackexchange_val_loss,0.02395026619987486,0.7,0.40188788133641584,0.7320090341395038,67,171,0,5.245853285305202
with_Qp,metric/the_pile_gutenberg_pg_19_val_loss,0.004520353656360245,1.0,0.20046012777644753,0.7881416492992085,88,171,0,5.445764048025012
with_Qp,metric/the_pile_pile_cc_val_loss,0.002592943797404667,0.7,0.11767706504801542,0.8653890684898272,112,171,0,5.727793703787029
with_Qp,metric/the_pile_ubuntu_irc_val_loss,0.02395026619987486,1.0,0.5793589620678822,0.6827756550081103,51,171,0,6.55348688736558
with_Qp,metric/the_pile_hackernews_val_loss,0.002592943797404667,0.9,0.1568860562425774,0.7903954247298394,114,171,0,5.403714658692479
with_Qp,metric/the_pile_pubmed_abstracts_val_loss,0.004520353656360245,1.0,0.23660782621858892,0.8365326945522357,92,171,0,5.439561689272523
with_Qp,metric/the_pile_uspto_backgrounds_val_loss,0.007880462815669913,1.0,0.20407285099889824,0.8525053889833816,61,171,0,5.177806387655437
with_Qp,mean_loss,0.004520353656360245,0.9,0.21127301165112702,0.5768681783094627,94,171,0,5.344656776171178
