N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1,C_FLOPs,g_type,dominant,eN,eD,shift_event
186068643.84854305,5652373469.253561,0.6675117551232451,3.0547716900512025,3.0806339172249304,0.13574635311144223,-0.16160858028517025,0.6310376795696968,0.1723153557011652,0.19664696472913812,interior,False,1e+19,exp,train,,,False
220257328.53331187,6145681887.901656,0.7052715501727392,2.992426260769164,3.0280082079610438,0.11991554733942247,-0.15549749453130224,0.6090482426437639,0.16631077345792378,0.2246409838983124,interior,False,1.3335214321633241e+19,exp,train,0.5860574009652934,0.29071381869869084,False
259632713.8029539,6734639487.106491,0.7420368979834987,2.931742487704311,2.9769423865973583,0.10456158963068801,-0.14976148852373553,0.5899633263426427,0.1610993189799643,0.248937354677393,interior,False,1.7782794100389229e+19,exp,train,0.571432363092587,0.31795420644058575,False
305145345.4513166,7420980015.831846,0.7781074837109554,2.8727866748332738,2.927539353746992,0.08958170449129946,-0.1443343834050177,0.572953348966943,0.1564544611579066,0.2705921898751504,interior,False,2.3713737056616554e+19,exp,train,0.5611786959664326,0.33717527729363833,False
357892114.9196014,8209412081.327571,0.8136925848623843,2.8155882305521014,2.87985531409776,0.07490289914458481,-0.13916998269024322,0.5574622157390966,0.15222434904448928,0.2903134352164142,interior,False,3.162277660168379e+19,exp,train,0.553963042445363,0.3508063526495557,False
419158953.5776798,9106414850.601263,0.8489496519381662,2.7601511307369164,2.833916140877548,0.060469056481597484,-0.13423406662222906,0.5430970314320448,0.14830169604971039,0.3086012725182448,interior,False,4.216965034285823e+19,exp,train,0.5490129388877579,0.3602829994855546,False
490453965.90297496,10119917025.729454,0.8839960390411606,2.706461426831467,2.789724860070096,0.04623751749256551,-0.12950095073119422,0.5295737536128597,0.14460893965321825,0.3258173067339219,interior,False,5.6234132519034905e+19,exp,train,0.5457560255384365,0.36663616486835676,False
573565767.5505453,11258667839.609776,0.9189266374763944,2.654492385742338,2.7472696241241135,0.0321729059543623,-0.12495014433613788,0.5166797967492666,0.14108802983233307,0.34223217341840045,interior,False,7.498942093324558e+19,exp,train,0.5438797801557257,0.37048043837869543,False
670608601.277383,12532233930.530111,0.9538165396199759,2.604208125803867,2.706527174793031,0.018246494656989666,-0.12056554364615338,0.5042534320220255,0.1376948038374811,0.3580517641404934,interior,False,1e+20,exp,train,0.5430871698588752,0.37233189176239145,False
784097528.9518459,13950558362.028606,0.9887303245592033,2.55556625296201,2.6674672690523646,0.004432863540707142,-0.11633387963106172,0.4921674931652134,0.1343945368003143,0.37343797003447216,interior,False,1.333521432163324e+20,exp,train,0.5432077262076698,0.3725047788173469,False
875303296.3239268,16904842356.245737,1.0,2.5088574502601513,2.622302460744311,0.0,-0.11344501048415964,0.4992532946642291,0.13632943299631217,0.36441727233945875,ceiling,False,1.778279410038923e+20,exp,train,0.3823078303269721,0.6673562788493093,True
956883870.5085218,21282251864.733723,1.0,2.4650061338734988,2.576164299040596,0.0,-0.11115816516709738,0.5152619383990726,0.14070085997884013,0.3440372016220872,ceiling,False,2.3713737056616553e+20,exp,train,0.309605360557278,0.8000516269964927,False
1047558650.9598696,26719473771.86796,1.0,2.4238761947582876,2.5327581748499615,0.0,-0.10888198009167363,0.5310770066406866,0.14501942794668352,0.32390356541263005,ceiling,False,3.1622776601683794e+20,exp,train,0.31455290912934025,0.7904825768712097,False
1148487252.6895576,33451947148.007965,1.0,2.385268730168101,2.491885856767422,0.0,-0.10661712659932095,0.546636757451396,0.14926827723472785,0.30409496531387614,ceiling,False,4.216965034285823e+20,exp,train,0.3195826522248767,0.7807480104294287,False
1260985292.0129607,41762125261.220634,1.0,2.3490004152272888,2.453364866464237,0.0,-0.10436445123694822,0.5618803743414367,0.15343080088683494,0.2846888247717283,ceiling,False,5.6234132519034906e+20,exp,train,0.3246707345057739,0.7708895176722451,False
1386548853.674302,51987725574.31393,1.0,2.3149023305438003,2.4170272338799075,0.0,-0.10212490333610734,0.5767495233577025,0.15749106984487662,0.26575940679742094,ceiling,False,7.498942093324558e+20,exp,train,0.3298012406170131,0.7609458089052791,False
1526871580.201956,64531581457.04181,1.0,2.282818876450703,2.3827185270926683,0.0,-0.09989965064196546,0.591188626513468,0.1614339076132777,0.24737746587325427,ceiling,False,1e+21,exp,train,0.3349386839369641,0.7509719247291583,False
1683874992.5319307,79872898264.55147,1.0,2.252606766135749,2.3502967471272216,0.0,-0.0976899809914726,0.6051465213447852,0.16524534342854935,0.2296081352266655,ceiling,False,1.333521432163324e+21,exp,train,0.34005868485377094,0.7410170811269843,False
1859739027.432052,98580459032.95728,1.0,2.2241340905819116,2.319631372051315,0.0,-0.09549728146940348,0.6185774607886094,0.16891288529267626,0.21250965391871435,ceiling,False,1.7782794100389228e+21,exp,train,0.3451372624604296,0.7311311406061314,False
2056932055.992262,121328282619.94188,1.0,2.1972794489152174,2.2906025121583906,0.0,-0.09332306324317324,0.6314416826591601,0.172425675478128,0.1961326418627119,ceiling,False,2.3713737056616553e+21,exp,train,0.3501435312935161,0.7213697135716136,False
2278249840.8395467,148913864228.69116,1.0,2.1719311384407365,2.263100050482856,0.0,-0.09116891204211931,0.6437062597338522,0.17577472265799057,0.18051901760815758,ceiling,False,3.1622776601683794e+21,exp,train,0.35505121734622547,0.7117846654720901,False
2526847957.694195,182280298904.05676,1.0,2.147986399334426,2.237022939621209,0.0,-0.08903654028678282,0.6553451554880279,0.17895291712526415,0.16570192738670805,ceiling,False,4.2169650342858226e+21,exp,train,0.35982209825067674,0.7024367888282721,False
2806305554.4267473,222540948753.65744,1.0,2.1253507096349225,2.212278306657931,0.0,-0.08692759702300835,0.6663403942757273,0.18195535033022525,0.15170425539404744,ceiling,False,5.623413251903491e+21,exp,train,0.36444675970788054,0.6933616253178451,False
3120650344.0830393,271011408790.4665,1.0,2.1039371268276827,2.1887809831004383,0.0,-0.08484385627275555,0.6766809255763603,0.18477900474405146,0.1385400696795884,ceiling,False,7.498942093324559e+21,exp,train,0.3688812371774126,0.684621108459421,False
3474452811.1303983,329243114099.9227,1.0,2.083665672910977,2.166452596397345,0.0,-0.08278692348636779,0.6863637979978818,0.18742307443995493,0.12621312756216344,ceiling,True,1e+22,exp,train,0.37313045691260277,0.6762330156659807,False
3872897846.6218905,399064648516.6799,1.0,2.0644627603665633,2.1452210151625817,0.0,-0.0807582547960186,0.6953933760461137,0.18988875121899215,0.11471787273489405,ceiling,True,1.3335214321633241e+22,exp,train,0.37719699495901543,0.6682124511221651,False
4321734724.1175995,482643536835.363,1.0,2.0462606569158446,2.125020373188438,0.0,-0.07875971627259327,0.7037782659137907,0.19217838514552582,0.10404334894068346,ceiling,True,1.7782794100389228e+22,exp,train,0.38097650883522327,0.6606659016913415,False
